YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.3108021	0.2088760	0.3260326	0.5314781	0.5398551	0.1402315	0.7115828	0.3109164	0.5211976	0.9418605
0.4244406	0.0529417	0.3259141	0.5251454	0.5790362	0.1392781	0.6105501	0.3705703	0.6664100	0.8338359
0.5170479	0.1560719	0.1176214	0.4513388	0.5762996	0.1781076	0.6551969	0.4292364	0.6915159	0.6958001
0.4308279	0.2867828	0.1679628	0.3248495	0.6066493	0.1420368	0.6479890	0.3695195	0.5074583	0.6275352
0.7195559	0.5500559	0.4439475	0.7714202	0.2832063	0.1719258	0.5603004	0.4242657	0.6068279	0.8294274
0.3588839	0.1146023	0.2995384	0.3938821	0.7566629	0.0622014	0.7452694	0.3451677	0.5458255	0.7532837
0.8463411	0.7917421	0.3915391	0.7437716	0.0266925	0.5087119	0.3082495	0.4398296	0.6770133	0.7037944
0.4122109	0.1181180	0.2815387	0.4381071	0.7261800	0.1319127	0.6768517	0.1738311	0.5396659	0.8122882
0.4927272	0.2586330	0.2700518	0.4435049	0.6811941	0.1247326	0.8570417	0.0940346	0.3933428	0.8213093
0.3510581	0.1378683	0.3769491	0.4646074	0.6474894	0.1530346	0.8579874	0.0135545	0.2268305	0.3859361
