YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.0000000	0.3108977	0.6803300	0.9706617	0.1944450	0.3599196	0.4780856	0.0493766	0.9336085	0.2592533
0.0719668	0.0000000	0.5141371	0.9892093	0.1213635	0.6214093	0.8043220	0.1852934	0.8140014	0.3722857
0.9996193	0.9999964	0.0000000	0.9911703	0.1103823	0.6921659	0.9362592	0.5636253	0.9977565	0.0890951
0.9963230	0.3959438	0.4777518	0.0000000	0.1096013	0.6980737	0.9490737	0.6938037	0.3666322	0.7152136
0.9962898	0.3939387	0.4817270	0.9999999	0.0000005	0.6887673	0.9289997	0.5093314	0.9565123	0.2255099
0.9901035	0.2630923	0.9999997	0.4939589	0.9999989	0.0000000	0.9283387	0.5050145	0.9146377	0.2819515
0.9901508	0.2635978	0.9938453	0.5535738	0.8934217	0.0130910	0.0000000	0.5050287	0.9154672	0.2810440
0.9901576	0.2636438	0.9933855	0.5570609	0.8875948	0.0138339	0.0205011	0.0000000	0.9155883	0.2809677
0.9963776	0.3982173	0.4748593	0.9914543	0.1087182	0.7040446	0.9619074	0.9034254	0.0000000	0.2240950
0.9963733	0.3980738	0.4749254	0.9914463	0.1087368	0.7040136	0.9618973	0.9034021	1.0000000	0.0000002
