YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.0000001	0.6560732	0.9998344	0.9997297	0.2557828	0.5259349	0.0288254	0.9723069	0.0922665	1.0000000
0.1432898	0.0000000	0.9998422	0.9997405	0.2578927	0.5290558	0.0284658	0.9802273	0.0932791	1.0000000
0.1432206	0.6487500	0.0000000	0.9997003	0.2506019	0.5181022	0.0297715	0.9522016	0.0898388	1.0000000
0.1432207	0.6487509	0.9998130	0.0000000	0.2506049	0.5181044	0.0297713	0.9522033	0.0898403	1.0000000
0.1432206	0.6487507	0.9998130	0.9997003	0.0000014	0.5181039	0.0297714	0.9522029	0.0898400	1.0000000
0.1426987	0.6310096	0.9997482	0.9996141	0.0168645	0.0000021	0.0322157	0.9058716	0.0479508	1.0000000
0.1832919	0.6546044	1.0000000	1.0000000	0.5375257	0.9999998	0.0000000	0.9680807	0.3706236	1.0000000
0.1426990	0.0774377	0.0545728	0.0483400	0.0307596	0.1069386	1.0000000	0.0000000	0.0480182	1.0000000
0.1426042	0.5705950	0.9992834	0.9990612	0.1943245	0.4334122	0.0424589	0.7682899	0.0000005	1.0000000
1.0000000	0.5226417	0.9983029	0.9980468	0.1616506	0.3826528	0.0533319	0.6757164	0.3892802	0.0000000
