YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.0000000	0.1570461	0.9246577	0.3763878	0.3109743	0.3955724	0.5225918	0.9850724	0.0823199	1.0000000
0.3792183	0.0000000	0.9246577	0.3763878	0.3109743	0.3955724	0.5225918	0.9850724	0.0823199	1.0000000
0.3792183	0.1570461	0.0000000	0.3763878	0.3109743	0.3955724	0.5225918	0.9850724	0.0823199	1.0000000
0.0291035	0.0346540	1.0000000	0.0000000	0.0591280	0.1217968	0.3388360	0.9850724	0.0823199	1.0000000
0.0250253	0.0343282	0.5759116	0.9999999	0.0000000	0.9435733	0.9047442	0.9850724	0.0823199	1.0000000
0.0251529	0.0343329	0.5759433	0.9999399	0.0150644	0.0000000	0.9047362	0.9850724	0.0823199	1.0000000
0.0259034	0.0343778	0.5761780	0.9993654	0.0322169	0.0662108	0.0000000	0.9850724	0.0823199	1.0000000
0.1894982	0.0795318	0.8582493	0.6686659	0.1106873	0.1288764	0.4788420	0.0000000	0.0823199	1.0000000
0.3813525	0.1581173	0.9249072	0.3738508	0.3144881	0.4019881	0.5244399	1.0000000	0.0000000	1.0000000
0.3380743	0.1388714	0.9210785	0.4293121	0.2117636	0.1569667	0.3893369	0.3622663	1.0000000	0.0000000
