YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.0000000	1.0601108	0.9142037	0.0420938	1.0415472	0.0423204	0.0633026	1.0096331	1.0755253	0.0176273
0.0228721	0.0000000	0.9666771	0.0356589	0.9962497	0.0502032	0.0402153	0.9765668	0.9896109	0.0272387
0.6975428	0.9662108	0.0000000	0.9891223	0.9997531	0.0649636	0.0405158	0.6825564	0.3621450	0.6964858
0.7203213	0.9780089	0.9958709	0.0000000	1.0340418	0.0528530	0.0542509	0.9480746	0.9531992	0.0419987
0.7313493	0.9841791	1.0335209	0.0621267	0.0000000	0.0632139	0.0666417	1.0362998	1.0339478	0.0255375
0.6995908	1.0526148	0.9934545	0.0557300	0.9988997	0.0000000	0.0514418	0.9855073	0.9882286	0.0188666
0.7835480	1.0377357	1.0559179	0.0523962	0.9329409	0.0589091	0.0000000	0.9904853	1.0743684	0.0150868
0.6948496	1.0349588	0.9412127	0.0647806	1.0135994	0.0635591	1.0114510	0.0000000	0.9627718	0.0297261
0.6509341	1.0974568	0.9713827	0.0519455	0.0274178	1.0130133	0.9918948	0.0528850	0.0000000	0.0255298
0.7764687	1.0648959	1.0972488	0.0472814	0.9615257	0.0294931	0.0590333	1.0080091	0.9791596	0.0000000
