YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.0329504	0.3580246	0.9927579	0.5789328	0.7184052	0.7752337	0.3457262	0.8816454	0.0899102	1.0000000
0.0232918	0.1815286	0.9794891	0.5918561	0.7455312	0.7469583	0.3952783	0.7043652	0.1308255	1.0000000
0.4586420	0.6314775	0.4974864	0.5742879	0.7087427	0.7852660	0.3287201	0.9568321	0.0787991	1.0000000
0.0657068	0.3576619	0.9937761	0.2894677	0.7184105	0.7752233	0.3457503	0.8814959	0.0899274	1.0000000
0.0657177	0.3576987	0.9936508	0.3077385	0.3592066	0.7752208	0.3457535	0.8814966	0.0899295	1.0000000
0.0659386	0.3580948	0.9925619	0.7705362	0.9712640	0.3876181	0.3457209	0.8816757	0.0899064	1.0000000
0.0658810	0.3579882	0.9928605	0.5182899	0.6088064	0.8857321	0.1728644	0.8816307	0.0899117	1.0000000
0.1049013	0.4116005	0.8634323	0.6155271	0.7957637	0.6917922	0.5010754	0.4524458	0.2702996	1.0000000
0.0645499	0.3557229	0.9989432	0.5789707	0.7185010	0.7751035	0.3459740	0.8804743	0.0450424	1.0000000
0.0764395	0.3744449	0.9505651	0.4531599	0.7173862	0.7763453	0.3437994	0.8898404	0.1838743	0.5000000
