"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C

0	0.2341760	0.2657311	0.0924220	0.3097412	0.6870924	0.0604302	0.0370777	0.4882552	0.7439825	0.6176306
50	0.2395287	0.2344027	0.3375510	0.3565157	0.7762153	0.0683324	0.0493579	0.6171619	0.7211459	0.2698426
100	0.3970013	0.4463466	0.3927531	0.3767607	0.7596330	0.0856932	0.0469248	0.7053690	0.8374596	0.1545559
150	0.2668007	0.6021042	0.5920094	0.3132367	0.7609087	0.1820352	0.0426818	0.7216146	0.8752121	0.0572681
200	0.2718481	0.5501310	0.5651833	0.2758722	0.7264946	0.1809066	0.0247520	0.6399190	0.7864254	0.0100107
250	0.3041929	0.5886953	0.4897807	0.3143282	0.6412885	0.2322957	0.0236769	0.6657260	0.7255705	0.0015573
300	0.2859398	0.6786503	0.4868680	0.3676015	0.6638545	0.2283416	0.0647376	0.6999727	0.7270351	0.0027300
350	0.3386353	0.7320128	0.5045311	0.4086655	0.7052193	0.3367155	0.0534567	0.5187061	0.7471380	0.0006586
400	0.4305113	0.6891593	0.5373747	0.3123939	0.6555428	0.3429459	0.0269247	0.5902039	0.9372305	0.0003396
450	0.3723457	0.6984423	0.5139327	0.4992290	0.6210601	0.2840307	0.0545136	0.7680500	0.7658939	0.0003224
500	0.3108687	0.5890236	0.3774484	0.4012534	0.7471324	0.2693230	0.0334159	0.6479470	0.7925607	0.0000049
550	0.3365120	0.6783917	0.3322190	0.3657399	0.6144283	0.2606195	0.0319482	0.4822571	0.8713263	0.0901745
600	0.3279278	0.5462459	0.2115600	0.4353530	0.5634346	0.1562787	0.0276084	0.4504127	0.9387610	0.1435120
650	0.3659776	0.5087261	0.2324809	0.5122807	0.6248078	0.0941260	0.0322338	0.4227967	0.8240834	0.3250381
700	0.4712193	0.5626283	0.2532329	0.6053525	0.6720213	0.0805090	0.0376610	0.4412702	0.8542019	0.2232915
750	0.5408361	0.6705682	0.3705639	0.4748628	0.7364526	0.1137227	0.0316242	0.3610209	0.6808612	0.2082522
800	0.4004753	0.5604793	0.2694999	0.4540919	0.6235518	0.0899362	0.0526511	0.4837985	0.7249095	0.2025870
850	0.3191850	0.5436319	0.2877903	0.4228268	0.6928103	0.1305725	0.0524359	0.4229280	0.6588807	0.2519850
900	0.3679243	0.4279003	0.1973935	0.4659166	0.7522205	0.0596456	0.0300840	0.4584764	0.7920324	0.2355109
950	0.3115244	0.6658915	0.1776754	0.3122857	0.7345850	0.0528964	0.0312242	0.4706129	0.7902779	0.3125046
1000	0.3486254	0.4903819	0.1606767	0.2904576	0.7343306	0.1021893	0.0469527	0.5277618	0.6855697	0.3014699

0	0.2792883	0.2021198	0.1335801	0.3339462	0.7165725	0.0708267	0.0834823	0.5230610	0.7316066	0.5503768
50	0.2521899	0.5107430	0.1443913	0.1100762	0.7315151	0.0558758	0.0313714	0.4382395	0.7139246	0.6476477
100	0.2417247	0.4700665	0.0701638	0.0640091	0.7544522	0.0476642	0.0412344	0.4060164	0.7018672	0.7035111
150	0.0767299	0.4160560	0.0511748	0.0652695	0.7292490	0.0394152	0.0288692	0.4327407	0.6926324	0.8406714
200	0.1315980	0.4726724	0.0388296	0.0433070	0.7907357	0.0517760	0.0118975	0.4951465	0.7787472	0.7976050
250	0.0139786	0.3853693	0.0415889	0.0090809	0.7420260	0.0580597	0.0479220	0.5577079	0.7292235	0.8745496
300	0.0429345	0.4768377	0.0288474	0.0111199	0.7220975	0.0413655	0.0233176	0.4496016	0.6880391	0.8123482
350	0.0276436	0.3554368	0.0321135	0.0188395	0.6999200	0.0276053	0.0287803	0.4933189	0.8599272	0.6437072
400	0.0113450	0.5520666	0.0150499	0.0366863	0.7921405	0.0388879	0.0211626	0.5204222	0.6186052	0.8510897
450	0.0210880	0.3649068	0.0166538	0.0061301	0.6994371	0.0195305	0.0354536	0.4573061	0.8689159	0.7323593
500	0.0259683	0.4080059	0.0276507	0.0423295	0.6988235	0.0421535	0.0367637	0.4292438	0.8976152	0.7910647
550	0.0240558	0.1358452	0.0272301	0.2573268	0.7510810	0.0241580	0.0207201	0.4322101	0.7079251	0.7996029
600	0.1646186	0.0565232	0.0358242	0.3507968	0.7030645	0.0337075	0.0463954	0.4509254	0.7024410	0.8457218
650	0.2262538	0.0760076	0.0686894	0.3708494	0.9001481	0.0288689	0.0557843	0.5272865	0.7788427	0.7012289
700	0.2544216	0.1280225	0.1022706	0.3545189	0.8053104	0.0498267	0.0390017	0.4680439	0.7781633	1.0000000
750	0.2550373	0.1445964	0.1380624	0.2536866	0.6761968	0.0420297	0.0716152	0.5459205	0.7005343	0.8835170
800	0.3092606	0.1697122	0.1099602	0.4081479	0.6686850	0.0599664	0.0334074	0.4393110	0.7936619	0.7376689
850	0.2161907	0.2692908	0.1064161	0.4321583	0.6909357	0.0357470	0.0354366	0.5880359	0.7821157	0.7365189
900	0.2818816	0.2167320	0.0723751	0.3579668	0.7243794	0.0300704	0.0241438	0.4195579	0.8159127	0.7992878
950	0.3463787	0.2265387	0.2432290	0.3871365	0.7309652	0.0277481	0.0356597	0.4078721	0.7933608	0.6922729
1000	0.4047962	0.3435645	0.1934741	0.4613340	0.6976797	0.0235277	0.0225923	0.4479772	0.8216781	0.6686599

0	0.2773564	0.2985267	0.1388659	0.2993706	0.8194487	0.0671052	0.0480304	0.4938729	0.6971648	0.6914757
50	0.4307241	0.2947313	0.6913524	0.3801388	0.7528234	0.0623909	0.0870532	0.3592446	0.7280121	0.4901199
100	0.7762124	0.6502215	0.6587493	0.2379294	0.8547097	0.1028909	0.0226469	0.5091859	0.6945466	0.3908382
150	0.6367596	0.7920928	0.5949233	0.3606877	0.7236899	0.2151048	0.0150905	0.4982977	0.7973642	0.2286530
200	0.6559894	0.8039625	0.7334343	0.3629318	0.6010544	0.3117722	0.0515581	0.4865583	0.7419562	0.1719392
250	0.7120216	0.6233546	0.6946181	0.3734583	0.6256842	0.2924998	0.0663872	0.3694564	0.7872003	0.1417928
300	0.6432641	0.7431179	0.8180077	0.4435131	0.5366070	0.3046647	0.0372932	0.4832978	0.8070721	0.1154236
