YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.0000005	0.7707836	0.3832010	0.7264117	0.5400011	0.9989480	0.0156547	0.0000000	0.9254572	1.0000000
0.9800718	0.9999772	0.0000002	0.8726234	0.2977873	0.4947139	0.9945363	0.0000000	0.9254572	1.0000000
0.9533210	0.7722119	0.0202601	0.0000016	0.0000000	0.8986145	0.2633660	0.4824812	0.9254572	1.0000000
0.9780990	0.9722878	0.0202551	0.0000006	0.4097345	0.6989115	0.5898121	0.2541491	0.0000029	1.0000000
0.9514446	0.7620701	0.3785756	0.9999995	0.0000000	0.6990554	0.5895673	0.2540872	0.0000029	1.0000000
0.9580475	0.7974795	0.3240333	0.7258366	0.5404395	0.9999999	0.0000001	0.0192566	0.0000029	1.0000000
