"Time"	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C

0	0.6242072	0.2758552	0.3656497	0.6755627	0.7202736	0.2353516	0.9024249	0.4172047	0.7774290	0.9272215
50	0.6384258	0.3048406	0.6496671	0.5930481	0.8614375	0.1137282	0.9578629	0.5778441	0.8026790	1.0558338
100	0.6665818	0.2619201	0.8303276	0.5102141	1.0231971	0.0431901	0.9698228	0.5399848	0.7385735	1.0437379
150	0.5815380	0.2035907	0.9432212	0.4803553	0.9701163	0.0134370	1.0383947	0.5144107	0.7384113	1.0165681
200	0.5577880	0.2192611	0.9710829	0.4768379	0.9076979	0.0014650	1.0396366	0.4766384	0.6667820	1.0718223
250	0.4802337	0.1911104	1.0202637	0.4999030	0.9635631	0.0058041	0.9900381	0.4258627	0.7584830	1.0362792
300	0.4715248	0.1837104	1.0239647	0.4893773	0.9896410	0.0045221	0.9825632	0.4537513	0.8298330	1.0908467
350	0.3736400	0.1374744	0.9910679	0.4488426	1.0674038	0.0076660	0.9002856	0.5234439	0.7929888	1.1549672
400	0.4159248	0.1089352	1.0666263	0.4946602	0.8783455	0.0046951	0.9177785	0.5331894	0.8766385	1.0388198
450	0.5246919	0.1272488	0.9987492	0.5236668	1.0095203	0.0059313	0.9377461	0.4863154	0.7627140	1.0201941
500	0.4020701	0.1131289	0.9571931	0.4793735	0.9522427	0.0127615	0.8578386	0.4720952	0.7301436	0.9698636
550	0.4383561	0.1278816	0.6981780	0.4665641	0.9807855	0.1270207	0.8849632	0.4691365	0.6465212	0.8909402
600	0.4690358	0.1557804	0.5665895	0.4511843	0.9669326	0.1863069	0.9723271	0.3902891	0.6757008	0.9672145
650	0.5137750	0.1292511	0.4411372	0.5731771	0.9689462	0.1879620	0.9341720	0.4081106	0.7752014	0.9796791
700	0.5046199	0.1368209	0.4147910	0.5506222	0.9411304	0.2034732	1.0715139	0.3949528	0.7221933	1.0177581
750	0.5114605	0.1432772	0.4020761	0.6434382	0.9362361	0.1830589	0.9691546	0.4093791	0.7225525	1.0592873
800	0.4837826	0.1764605	0.4393773	0.5992233	0.8851652	0.1977422	1.0646953	0.4077323	0.8377341	0.9860429
850	0.4790385	0.1661094	0.4351572	0.5692252	0.8534890	0.1537690	1.0182631	0.5433758	0.8942294	1.0930935
900	0.5976581	0.1866220	0.3695382	0.6028953	0.8463983	0.1908398	0.9830310	0.5896986	0.8870203	1.0372550
950	0.5604062	0.2117600	0.3393752	0.6208069	0.8701636	0.1740267	0.8646587	0.6139969	0.8488148	1.0948244
1000	0.5922231	0.2235261	0.3803985	0.6708453	0.9094952	0.2050633	0.8912366	0.6165820	0.8601870	1.0339370

0	0.6242072	0.2758552	0.3656497	0.6755627	0.7202736	0.2353516	0.9024249	0.4172047	0.7774290	0.9272215
50	0.6157484	0.2920418	0.4410503	0.5677669	0.7794247	0.1822832	0.8513187	0.4535905	0.8771211	1.0578432
100	0.5947718	0.2386061	0.4426036	0.5170238	0.8897059	0.1906231	0.9455711	0.5258631	0.9000236	1.1054004
150	0.5700659	0.1856035	0.3396049	0.4408800	0.8559126	0.1890980	0.8186194	0.4946657	0.9896130	1.0849301
200	0.6419290	0.1969082	0.2745573	0.4544681	0.7573745	0.1752582	0.9018438	0.6036014	0.8220271	1.0262074
250	0.5939945	0.2053023	0.2989530	0.5134709	0.7797552	0.2017079	0.9272995	0.5050244	0.9130461	1.0518186
300	0.5733195	0.2314327	0.3439016	0.5427333	0.7913850	0.1738806	0.8377600	0.5557285	0.9865996	1.0728585
350	0.6339759	0.2548511	0.2938915	0.5501198	0.6635774	0.2273047	0.8575885	0.5364079	0.8763230	0.9783770
400	0.6724264	0.2672187	0.2825533	0.6413198	0.6325239	0.1792687	0.9095414	0.5193353	0.9024568	1.1428029
450	0.6389338	0.3282883	0.3048273	0.5610552	0.7130257	0.2050308	0.8469942	0.5503175	1.0000443	0.9801340
500	0.6319598	0.4084240	0.3463604	0.5673750	0.6442746	0.2010069	0.8314615	0.6931015	0.8423824	1.0031919
550	0.6545710	0.4135290	0.3372509	0.6753929	0.7342044	0.2232031	0.8564301	0.6036170	0.8350801	0.9212360
600	0.6346072	0.3865534	0.4028009	0.6674106	0.7393412	0.2289265	0.8048020	0.5751522	0.7715039	0.9757004
650	0.6975286	0.3739237	0.3465185	0.7366991	0.6920377	0.1999855	0.9377083	0.5595678	0.7590059	1.1562618
700	0.8022542	0.3753309	0.3771249	0.7364860	0.7523819	0.1543418	0.9176671	0.5269860	0.8722840	1.0898860
750	0.6799549	0.3429276	0.5110298	0.7783340	0.9552047	0.1825806	0.8483633	0.5108238	0.9027535	1.0832271
800	0.5595805	0.2866123	0.4953842	0.7270007	0.8948064	0.2171609	0.9715105	0.5526285	0.8251501	1.0007508
850	0.4758620	0.2656237	0.4922203	0.5918574	0.8800675	0.2026410	0.8871393	0.5542961	0.8519491	1.0257364
900	0.5136695	0.1939197	0.4181917	0.6276769	0.8349232	0.2439627	0.9287974	0.5007880	0.8481807	1.0361196
950	0.5601423	0.1988742	0.4488760	0.6410687	0.8177517	0.2303944	0.9494334	0.4998600	0.7733219	1.0989732
1000	0.5902213	0.2108497	0.4401798	0.7626844	0.6418677	0.2225629	0.8180127	0.5143321	0.7763497	0.9505478

0	0.6242072	0.2758552	0.3656497	0.6755627	0.7202736	0.2353516	0.9024249	0.4172047	0.7774290	0.9272215
50	0.4273884	0.2455853	0.5169040	0.6747792	0.5596764	0.1952413	1.0000257	0.3914049	0.7561445	0.9144694
100	0.4731384	0.3838109	0.8150649	0.8533477	0.2967827	0.1995853	0.8840884	0.4957669	0.7672331	0.9114021
150	0.4540896	0.6158303	0.8367894	0.9076309	0.2006286	0.2106284	1.0043699	0.4503375	0.7446412	0.8972105
200	0.5207177	0.7554517	0.8905788	0.9419349	0.1518812	0.1518104	1.0338547	0.4018533	0.7166552	0.9366854
250	0.4283516	0.7991580	1.0230364	0.9498311	0.1421699	0.1724567	0.9699879	0.3583778	0.8146930	1.0015890
