YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0000000	0.0806592	0.4030322	0.8456220	1.0006723	0.0194739	0.9843351	0.8982890	0.7902245	0.6482290
0.0801175	0.0000000	0.3778334	0.8341825	1.0469367	0.0298826	0.8817316	1.1557561	0.6382716	0.6483196
0.1481756	0.0840091	0.0000000	0.7660362	0.9204619	0.0253255	0.7547123	0.7364495	0.4142293	0.8976029
0.0946863	0.0617706	1.1755835	0.0000000	0.9008847	0.0163791	0.9053646	0.9191390	0.6501270	0.6202603
0.1444130	0.0619193	0.3080521	1.0268742	0.0000000	0.0186818	0.9582408	0.8897077	0.5873493	0.7037807
0.1869440	0.0494644	0.4542702	0.8109988	1.0419913	0.0000000	1.0453769	0.9498176	0.6555209	0.5987948
0.1607383	0.0759605	0.4000595	0.8646014	1.0159996	0.9701439	0.0000000	0.8702965	0.7604348	0.7282009
0.1849543	0.0755201	0.4132787	0.8372070	1.0065422	1.0621820	0.0110058	0.0000000	0.6721808	0.5938102
0.1764929	0.0640494	0.4261569	0.7805652	1.0668819	1.1234053	0.0028971	0.0379048	0.0000000	1.0352952
0.1790540	0.1110913	0.8206850	0.1554357	1.1904999	0.0182062	0.9427588	0.9173370	0.6614217	0.0000000
