YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.3383588	0.0526373	0.0407686	0.6019377	0.6866862	0.9234284	0.0450207	0.9294909	0.0374486	0.6951015
0.8546537	0.0032962	0.0452111	0.6318658	0.7564443	0.8473682	0.0309171	0.7602716	0.0622435	0.7457563
0.3465482	0.4291820	0.0175789	0.6874569	0.6068584	0.7648674	0.2482825	0.7479670	0.0602400	0.6499427
0.8744604	0.0033480	0.0742577	0.3285761	0.7650973	0.9263544	0.0261873	0.7209484	0.0256031	0.8399679
0.8706361	0.0101200	0.0598955	0.6120545	0.3712751	0.7182462	0.0460111	0.8759487	0.0436439	0.6002713
0.7641642	0.0125213	0.0489968	0.4253262	0.7083709	0.4297655	0.0367633	0.7753710	0.0391385	0.7701476
0.6027580	0.0167757	0.0390526	0.7219846	0.7138344	0.7567335	0.0124894	0.6652721	0.0257183	0.6506711
0.6498834	0.0107831	0.0485733	0.5133402	0.7298999	0.6996716	0.0448018	0.3848563	0.0317643	0.7091706
0.8170945	0.0341993	0.0624900	0.6936034	0.7553210	0.6903201	0.0354174	0.7124279	0.0397681	0.6983113
0.7308615	0.0009476	0.0288487	0.5026296	0.6054308	0.8590363	0.0791543	0.6714564	0.1160126	0.3622733
