YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.3428239	0.5852391	0.0450513	0.8026613	0.6343848	0.7113691	0.6151996	0.6311564	0.0258391	0.6522351
0.3068483	0.5954822	0.0006138	0.6751338	0.6823732	0.7272429	0.3470901	0.7055848	0.0901258	0.7328989
0.8055002	0.0038697	0.0339543	0.6985624	0.8645383	0.7347173	0.0059354	0.6443374	0.0311627	0.4692386
0.6928350	0.0659010	0.0530930	0.7552356	0.6380536	0.8644155	0.0077087	0.7767207	0.0339135	0.6424841
0.5243032	0.0183941	0.0290131	0.8929608	0.7821448	0.6754046	0.0010968	0.8463200	0.0086055	0.7701586
0.6981415	0.0708815	0.0809917	0.7306833	0.6577270	0.7346516	0.0919229	0.4935588	0.0411427	0.7614649
0.1504290	0.7459589	0.0350595	0.6926287	0.7875226	0.6779060	0.4208267	0.7265157	0.0863260	0.5170188
0.1302383	0.7757734	0.0075022	0.7992604	0.5801272	0.5251277	0.5500576	0.7594677	0.0267915	0.8166712
0.2547330	0.5857679	0.0037541	0.6467665	0.5202907	0.6161081	0.5118876	0.7066890	0.0542721	0.6848122
0.0439954	0.6837104	0.0106468	0.5612956	0.7072161	0.6792085	0.3440716	0.5620348	0.0056613	0.6381607
