YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0323502	0.9381819	1.0098416	0.0142993	0.2329629	0.4659042	0.6285351	0.0644100	0.7770875	0.9492152
0.2055538	0.4847394	1.0713053	0.0282780	0.2272178	0.4636046	0.6138750	0.0883452	1.0027882	1.0088903
0.1964207	0.5469290	0.5105851	0.0190113	0.2331120	0.4109506	0.6272406	0.0837854	0.9650266	0.9778796
0.0281674	0.8918585	0.9941076	0.0211077	0.2850452	0.4708560	0.5463764	0.0670389	0.9354994	1.0770160
0.0530646	1.0737316	1.0195668	0.0099418	0.1271336	0.4248583	0.5945011	0.0791273	0.9421140	0.9443907
0.2236740	0.8785577	0.9935865	0.0164795	0.0652911	0.2360355	0.5919740	0.0921180	0.9583741	1.0074970
0.0438865	0.8540545	0.9508534	0.0208714	0.2406238	0.4441303	0.3055944	0.0749243	0.9877047	1.0370041
0.0708017	0.9234404	1.0005370	0.0181803	0.1809853	0.2224936	0.5288773	0.0357033	1.0337978	1.0638876
0.0296041	0.9590668	0.9456760	0.0290301	0.3681032	0.6392649	0.5334038	0.1934251	0.4211128	1.0008903
0.0181010	0.9458097	0.9542949	0.0665299	0.5180936	0.8949226	0.1961256	0.3188161	0.3993551	0.5250113
