YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.0000000	0.6510484	0.1253938	0.0954779	0.1108884	0.1587033	0.8812097	0.7595593	0.2219743	0.7745177
0.0878868	0.0000000	0.0714423	0.0877946	0.1160242	0.2337363	0.7593425	0.8588266	0.1829549	0.8539190
0.7668569	0.8679029	0.0000000	0.1059419	0.1021716	0.2285104	0.6992744	0.6403143	0.2175231	0.8689557
0.7445288	0.5763551	0.0807129	0.0000000	0.0956329	0.2029631	0.6173535	0.6445097	0.2378540	0.8351588
0.6956362	0.8621383	0.0187350	0.0712811	0.0000000	0.1496329	0.7471071	0.6947703	0.1979795	0.7250886
0.6690211	0.6700749	0.0676771	0.0468930	0.0782699	0.0000000	0.9615220	0.7011152	0.2125532	1.0357105
0.6306558	0.2321063	0.5517706	0.3131335	0.4284619	0.7226323	0.0000000	0.7649681	0.1577872	0.6667747
0.4084001	0.2972515	0.4361666	0.3902534	0.5198685	0.6734363	0.0253286	0.0000000	0.1446382	0.7293714
0.6975404	0.5574703	0.1139489	0.0790682	0.1657358	0.1923182	0.6506086	0.7874878	0.0000000	0.8279899
0.6995031	0.6732053	0.0200640	0.0967644	0.0657411	0.2217527	0.8520305	0.3905557	0.9648333	0.0000000
