YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0000014	0.4252243	0.0435913	0.9999903	0.0633458	0.8590502	0.4420211	0.1596331	0.0221351	0.0377056
0.0167813	0.0000000	0.0435913	0.9999903	0.0633458	0.8590502	0.4420211	0.1596331	0.0221351	0.0377056
0.1346041	0.4052915	0.0000007	0.9999904	0.0628779	0.8620790	0.4373375	0.1565887	0.0219755	0.0377047
0.8749925	1.0000000	0.9999998	0.0000000	0.0957204	0.6346340	0.7447509	0.5503822	0.0344579	0.0378323
0.1579784	0.4252211	0.0435909	1.0000000	0.0000000	0.8590501	0.4420210	0.1596330	0.0221351	0.0377056
0.1580745	0.4253021	0.0436029	0.9997541	0.8794915	0.0000009	0.4420241	0.1596357	0.0221352	0.0377056
0.1579781	0.4252211	0.0435909	1.0000000	0.0009111	0.9999999	0.0000000	0.1596330	0.0221351	0.0377056
0.1579782	0.4252211	0.0435909	1.0000000	0.0044851	0.9963962	0.0915502	0.0000000	0.0221351	0.0377056
0.1579798	0.4252223	0.0435911	0.9999963	0.0397518	0.9540958	0.2662296	0.0678978	0.0000000	0.0376631
0.1579781	0.4252211	0.0435909	1.0000000	0.0628802	0.8620654	0.4373439	0.1565891	0.0219755	0.0000000
