"Time"	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C

0	0.0263893	0.0600082	0.0701602	0.5747161	0.6186338	0.9772207	1.0073941	1.0013384	0.0674446	0.1194640
50	0.0546446	0.0771220	0.0458909	0.5182675	0.5429596	0.9592235	0.5438606	0.9243493	0.0938515	0.1238974
100	0.0518456	0.0699099	0.0898797	0.2639011	0.4825966	0.6556288	0.1618586	0.9404999	0.0763795	0.1197189
150	0.0864272	0.0966484	0.2866241	0.2144481	0.3466848	0.3038521	0.0773344	1.0243639	0.0884363	0.0940649
200	0.0729053	0.1590686	0.4247578	0.1972379	0.1582135	0.1543218	0.0937314	1.1142684	0.0585910	0.1013960
250	0.1352917	0.2102380	0.4861559	0.2127049	0.0881225	0.0659020	0.0757878	1.0324790	0.0686887	0.1138597
300	0.1671721	0.2627538	0.4818326	0.2908026	0.0597884	0.0483382	0.0765962	1.1103118	0.0491970	0.1120003
350	0.1706469	0.2999213	0.4054192	0.2980019	0.0408359	0.0753757	0.0472091	0.9533793	0.0460082	0.1059929
400	0.2428908	0.3266078	0.2815148	0.3738356	0.0296953	0.0921434	0.0619695	0.9462199	0.0545465	0.1265008
450	0.3090276	0.3033392	0.2601764	0.4032282	0.0496601	0.0572956	0.0791191	1.0660041	0.0648068	0.1227685
500	0.2602457	0.2201863	0.2093207	0.4321752	0.0342025	0.0618630	0.0899799	0.9597418	0.0514820	0.0933823
550	0.2263042	0.1801947	0.1564602	0.5454764	0.0210848	0.1302927	0.6556928	0.9747651	0.0530623	0.0830052
600	0.2135193	0.1682499	0.1388352	0.8455041	0.0171657	0.4914952	0.8592157	0.9828177	0.0530888	0.0892336
650	0.1683493	0.1567430	0.1215312	1.0881550	0.0350518	0.7654675	0.8617832	0.9929531	0.0500861	0.1041869
700	0.1308394	0.1360541	0.0521916	0.9351951	0.1254802	0.8523920	0.9491201	0.9702421	0.0447746	0.1157969
750	0.1116896	0.1113919	0.0543598	0.9922626	0.2058682	0.8637229	0.9402879	1.0620592	0.0373574	0.1166531
800	0.0684339	0.0895178	0.0445370	0.8924877	0.2991825	0.9268306	0.9505095	1.0097561	0.0708603	0.1247696
850	0.0465639	0.1053784	0.0301598	0.7550822	0.3443575	0.8667249	1.0030604	1.0416762	0.0800008	0.1689074
900	0.0305221	0.0731716	0.0376454	0.7660130	0.3522501	0.9440410	0.8924637	1.0316820	0.0864420	0.1431264
950	0.0340041	0.0557010	0.0246490	0.6842280	0.4411462	0.9869761	1.0409458	1.0558805	0.0906515	0.0979917
1000	0.0487772	0.0859705	0.0373079	0.7026320	0.4582688	0.9309767	1.0187286	0.9447145	0.0884002	0.1102807

0	0.0263893	0.0600082	0.0701602	0.5747161	0.6186338	0.9772207	1.0073941	1.0013384	0.0674446	0.1194640
50	0.0449832	0.0598135	0.0739168	0.4670179	0.5245583	0.9974424	0.9828145	0.6772416	0.0685515	0.1228839
100	0.0645440	0.0805328	0.1104171	0.2029510	0.5851866	1.0629367	0.9741645	0.3327469	0.0699983	0.1071482
150	0.0583989	0.1221065	0.3524364	0.0833131	0.6245675	1.0544262	1.0305818	0.2766212	0.0593123	0.1063779
200	0.0635405	0.2016207	0.7196898	0.0415873	0.6421662	0.9889609	1.0654725	0.2155186	0.0349307	0.1810986
250	0.1239506	0.3309304	0.9345050	0.0256994	0.6662360	0.8800658	1.0741332	0.1801592	0.0608689	0.2065801
300	0.3019925	0.4958087	0.9114801	0.0076721	0.5677899	1.0797337	1.0747329	0.1829022	0.1396672	0.2224198
