YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.8767630	1.1179096	0.0113019	0.6758069	0.3527959	0.6323616	0.4275318	0.9028246	0.6263817	0.9731404
0.7164448	0.8366473	0.3641484	0.5843029	0.2768430	1.0665499	0.1902044	0.9045146	0.5639567	0.5581003
0.8020122	0.9084183	0.3919987	0.1930928	0.7947666	0.1034109	0.7449953	0.9187530	1.0535431	1.0674138
0.7737262	0.9050398	0.3764361	0.3359087	0.4896133	0.3817032	0.6441269	0.9450923	0.6906013	1.0509956
0.8269061	1.0057878	0.4411470	0.1536206	0.5167559	0.3787788	0.4386422	0.9816646	0.9621576	0.7805022
0.7971503	1.0354844	0.2640233	0.6354079	0.6569882	0.1525073	0.6261741	0.7664231	0.5025463	0.9546337
0.9026823	1.0854354	0.0140957	0.8731699	0.2995611	0.8245460	0.3415649	0.8991005	0.7192562	0.9944609
0.4307015	0.6078054	0.3016537	0.4616053	0.2865079	0.8641373	0.4942536	1.0466273	0.8181716	0.6033266
0.7797788	1.0286378	0.0565939	0.9678522	0.1504305	0.7515076	0.3655907	0.9381132	0.7994625	0.9469447
0.8150238	1.0359554	0.0778852	0.1477335	0.7638664	0.2338782	0.7973881	0.8217383	0.6171327	0.7494704
