"Time"	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C

0	0.6840927	0.1683867	1.0000000	0.3185486	0.5272336	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
50	0.6956837	0.0885321	1.0000000	0.4338011	0.5318135	0.9999994	0.0264085	0.6799660	0.3434950	0.0495538
100	0.7559465	0.0397662	1.0000000	0.5912558	0.5611996	0.9999981	0.0637571	0.7530226	0.5422333	0.0495538
150	0.8337406	0.0252424	1.0000000	0.7058745	0.6098659	0.9998525	0.1861912	0.8242714	0.6308810	0.0495578
200	0.8938073	0.0214593	1.0000000	0.7800927	0.6576481	0.9969857	0.3247441	0.8657749	0.6636162	0.0499107
250	0.9302933	0.0205135	1.0000000	0.8267158	0.6943150	0.9844131	0.4193814	0.8850739	0.6750294	0.0536225
300	0.9497170	0.0202803	1.0000000	0.8554821	0.7187321	0.9623350	0.4706200	0.8931346	0.6807482	0.0651355
350	0.9592506	0.0202231	1.0000000	0.8728633	0.7333634	0.9397847	0.4951158	0.8966314	0.6877160	0.0826308
400	0.9636835	0.0202091	1.0000000	0.8831136	0.7413822	0.9231550	0.5060391	0.8988315	0.6974423	0.1000746
450	0.9656678	0.0202057	1.0000000	0.8890045	0.7454884	0.9131209	0.5108370	0.9009568	0.7081240	0.1135409
500	0.9665317	0.0202049	1.0000000	0.8923042	0.7475211	0.9077423	0.5131112	0.9031299	0.7175351	0.1224215
550	0.9527088	0.1000592	1.0000000	0.8027567	0.7459814	0.9086128	0.4374548	0.8953415	0.5426077	0.1250263
600	0.8864483	0.1488251	1.0000000	0.6773977	0.7296109	0.9397473	0.2502392	0.8552495	0.3742999	0.1042819
650	0.8084102	0.1633489	1.0000000	0.5809576	0.6999997	0.9740670	0.1259382	0.7975167	0.2768043	0.0789828
700	0.7511893	0.1671319	1.0000000	0.5105309	0.6663557	0.9910538	0.0660467	0.7459803	0.2144604	0.0633647
750	0.7174044	0.1680778	1.0000000	0.4578282	0.6347883	0.9972422	0.0406587	0.7087546	0.1747309	0.0555926
800	0.6997216	0.1683109	1.0000000	0.4181574	0.6078612	0.9992022	0.0305575	0.6851214	0.1515035	0.0520842
850	0.6911377	0.1683681	1.0000000	0.3887820	0.5861915	0.9997780	0.0266590	0.6715125	0.1390922	0.0505847
900	0.6871765	0.1683821	1.0000000	0.3675254	0.5694933	0.9999395	0.0251675	0.6642303	0.1329271	0.0499656
950	0.6854130	0.1683856	1.0000000	0.3524540	0.5570699	0.9999835	0.0245926	0.6605388	0.1300326	0.0497159
1000	0.6846485	0.1683864	1.0000000	0.3419287	0.5480825	0.9999953	0.0243668	0.6587432	0.1287313	0.0496169

0	0.6840927	0.1683867	1.0000000	0.3185486	0.5272336	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
50	0.6840023	0.1700110	0.9817593	0.4483544	0.5323967	0.9999995	0.0242007	0.6577081	0.1607219	0.2539389
100	0.6822628	0.1765035	0.9666364	0.6235227	0.5654781	0.9999995	0.0240489	0.6774826	0.3394160	0.4936882
150	0.6771149	0.1828081	0.9606311	0.7445052	0.6190698	0.9999995	0.0237268	0.7410345	0.5262661	0.6342669
200	0.6701025	0.1864509	0.9586532	0.8148299	0.6696192	0.9999995	0.0234665	0.8114466	0.6445588	0.7027091
250	0.6636839	0.1880858	0.9580547	0.8529141	0.7063924	0.9999995	0.0233587	0.8591627	0.7057752	0.7332483
300	0.6590373	0.1887205	0.9578819	0.8728746	0.7296357	0.9999995	0.0233524	0.8850049	0.7345061	0.7462084
350	0.6561473	0.1889453	0.9578334	0.8831748	0.7431713	0.9999995	0.0233842	0.8975606	0.7472865	0.7515340
400	0.6545286	0.1890201	0.9578200	0.8884541	0.7506699	0.9999995	0.0234191	0.9033234	0.7527874	0.7536745
450	0.6536880	0.1890439	0.9578164	0.8911555	0.7546969	0.9999995	0.0234454	0.9058822	0.7551021	0.7545212
500	0.6532753	0.1890513	0.9578154	0.8925402	0.7568182	0.9999995	0.0234620	0.9069935	0.7560595	0.7548522
550	0.6531786	0.1872145	0.9760558	0.7763803	0.7546042	0.9999995	0.0234804	0.9076353	0.7573670	0.5505953
600	0.6549075	0.1803479	0.9911787	0.6191279	0.7322763	0.9999995	0.0236467	0.9064472	0.7041897	0.3108953
650	0.6601282	0.1741352	0.9971840	0.5088416	0.6910019	0.9999995	0.0241037	0.8955375	0.5786209	0.1703354
700	0.6671690	0.1707241	0.9991618	0.4408522	0.6462694	0.9999995	0.0246695	0.8655697	0.4254814	0.1019004
750	0.6735515	0.1692422	0.9997604	0.3990844	0.6089727	0.9999994	0.0250717	0.8149454	0.2978778	0.0713640
800	0.6781345	0.1686785	0.9999332	0.3725036	0.5818781	0.9999994	0.0251865	0.7581631	0.2150392	0.0584050
850	0.6809655	0.1684813	0.9999817	0.3550329	0.5634870	0.9999994	0.0250638	0.7131398	0.1692571	0.0530798
900	0.6825423	0.1684163	0.9999950	0.3433446	0.5513455	0.9999994	0.0248354	0.6852160	0.1464565	0.0509394
950	0.6833574	0.1683957	0.9999987	0.3354690	0.5433827	0.9999994	0.0246123	0.6703546	0.1358622	0.0500927
1000	0.6837561	0.1683893	0.9999996	0.3301498	0.5381462	0.9999994	0.0244450	0.6631290	0.1311708	0.0497617

0	0.6840927	0.1683867	1.0000000	0.3185486	0.5272336	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
50	0.6840929	0.1683867	1.0000000	0.3364405	0.5280369	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
100	0.6840930	0.1683867	1.0000000	0.3606286	0.5323848	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
150	0.6840931	0.1683867	1.0000000	0.3778172	0.5395784	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
200	0.6840931	0.1683867	1.0000000	0.3886382	0.5469121	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
250	0.6840931	0.1683867	1.0000000	0.3954537	0.5528684	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
300	0.6840931	0.1683867	1.0000000	0.3999031	0.5571945	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
350	0.6840931	0.1683867	1.0000000	0.4029007	0.5601843	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
400	0.6840931	0.1683867	1.0000000	0.4049533	0.5622174	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
450	0.6840931	0.1683867	1.0000000	0.4063657	0.5635991	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
500	0.6840931	0.1683867	1.0000000	0.4073375	0.5645417	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
550	0.6840931	0.1683867	1.0000000	0.3904086	0.5644702	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
600	0.6840931	0.1683867	1.0000000	0.3669496	0.5604067	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
650	0.6840931	0.1683867	1.0000000	0.3501810	0.5533439	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
700	0.6840931	0.1683867	1.0000000	0.3395403	0.5461875	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
