YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.7994919	0.3101713	0.8919040	0.7977714	1.0000000	0.0446143	0.9302731	0.9645423	1.0000000	0.0897586
0.4287279	0.3017412	0.8374641	0.6979685	0.9999434	0.1657445	0.9318846	0.9920653	0.8189062	0.0539982
0.6098332	0.3976295	0.8078550	0.6979767	0.9999703	0.1471505	0.9798964	0.9934758	0.8214881	0.0534645
0.8699526	0.2356070	0.8450418	0.7446044	0.9999818	0.1346055	0.9792355	0.9869195	0.6835705	0.0554142
0.5760326	0.3192339	0.8915938	0.8034894	0.9999958	0.1030803	0.9321412	0.9968215	1.0000000	0.0897590
0.6124403	0.3742956	0.8309069	0.7494697	0.9999433	0.1656509	0.9321481	0.9969476	1.0000000	0.0825706
0.1727518	0.4859764	0.7301465	0.5722600	0.7020035	0.1746449	0.9322330	0.9984919	1.0000000	0.0505448
0.4972349	0.3492734	0.8545271	0.8137231	0.9999432	0.1656570	0.9321386	0.9967751	1.0000000	0.0897640
0.8765099	0.2305699	0.8198242	0.7235262	0.8540184	0.1510187	0.9787057	0.9974794	0.9663455	0.1066861
0.7265132	0.1631785	0.8484103	0.7578063	0.9999421	0.1664551	0.9301508	0.9624720	0.8995689	0.0473859
