"Time"	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C

0	0.1857973	0.0171311	0.3512161	0.6611415	0.8560002	0.0415028	0.7375715	0.7956546	0.5070249	0.5765210
50	0.1263237	0.0521041	0.3807323	0.6340491	0.6854373	0.0074191	0.8671950	0.7903744	0.5256751	0.6525632
100	0.1323816	0.0527426	0.4057728	0.6176201	0.7189807	0.0013490	0.8200845	0.7675112	0.4671365	0.4752579
150	0.1360788	0.0357766	0.3556198	0.6979987	0.8445807	0.0021135	0.7169423	0.7150080	0.6025685	0.3576666
200	0.1197476	0.0527196	0.2974486	0.5130599	0.6713408	0.0044376	0.7821577	0.5822997	0.5311582	0.4619331
250	0.1237527	0.0546268	0.2854228	0.6094673	0.7695545	0.0016531	0.6257407	0.5579485	0.5529024	0.4446139
300	0.0802226	0.0389170	0.2806218	0.5690630	0.9012280	0.0025177	0.7013257	0.7275133	0.5333326	0.5032869
350	0.1084380	0.1028740	0.3698884	0.6126796	0.7512496	0.0050720	0.6967625	0.7759975	0.4788796	0.7643614
400	0.1552471	0.0268696	0.3303401	0.5444759	0.8218360	0.0013159	0.7980955	0.7616003	0.5176901	0.5884531
450	0.1114013	0.0497286	0.3020888	0.7044327	0.7411819	0.0005080	0.5883597	0.7449227	0.5711775	0.5776180
500	0.0928967	0.0187363	0.3989526	0.5450066	0.6812112	0.0001647	0.8003001	0.7197622	0.6458730	0.5218691
550	0.1520261	0.0355321	0.3538209	0.5391362	0.6467228	0.0017536	0.6544503	0.9394272	0.4947107	0.4915694
600	0.1065209	0.0333158	0.4424450	0.5698016	0.9768510	0.0077142	0.7573952	0.7109351	0.4701656	0.4543592
650	0.1082954	0.0415223	0.2786500	0.5659065	0.7220178	0.0207431	0.6827596	0.6844872	0.5177738	0.4151866
700	0.0934652	0.0319224	0.2235600	0.6195459	0.7523886	0.0208240	0.8011303	0.6996903	0.5114507	0.5209080
750	0.0721448	0.0321946	0.3841211	0.4629594	0.8059173	0.0195807	0.7304349	0.6461536	0.5219786	0.4712794
800	0.0869043	0.0475173	0.3674058	0.5682244	0.6534550	0.0066699	0.6764743	0.7516731	0.4964668	0.4522270
850	0.0929236	0.0430215	0.3633707	0.6521864	0.7641150	0.0101959	0.7376067	0.6644396	0.5469558	0.4270065
900	0.0933603	0.0278234	0.3366842	0.5772353	0.8655441	0.0017698	0.7648671	0.7886347	0.5921265	0.4891527
950	0.0760191	0.0477908	0.3488766	0.5590209	0.7384146	0.0019743	0.7640328	0.7754804	0.6162290	0.5490984
1000	0.0705027	0.0680036	0.3343553	0.6697537	0.6546889	0.0119792	0.6557028	0.6890517	0.5238102	0.4837781

0	0.1407340	0.0259772	0.3907198	0.6105129	0.7478339	0.0363380	0.7369586	0.7859937	0.4673483	0.4360166
50	0.1753961	0.0423137	0.2970055	0.5066220	0.7031253	0.0156778	0.6354857	0.7160251	0.6023757	0.4535069
100	0.2177270	0.0539584	0.2839673	0.6345794	0.5198467	0.0072690	0.5973425	0.8039948	0.5057089	0.4781828
150	0.2935193	0.0644442	0.0697128	0.5587369	0.4017992	0.0161824	0.6613066	0.8228294	0.6368985	0.4348762
200	0.2546637	0.0273505	0.0624773	0.7258605	0.5472355	0.0244119	0.7206911	0.8932370	0.6917364	0.4773150
250	0.3133216	0.0284517	0.0609307	0.7346171	0.5118812	0.0070217	0.7046906	0.6744672	0.5126278	0.3934604
300	0.2787313	0.0683407	0.0238085	0.6704469	0.4876244	0.0027061	0.8074327	0.7264035	0.5749531	0.4946088
350	0.3306865	0.0326179	0.0671496	0.6258851	0.5703556	0.0027589	0.8303435	0.6346019	0.5237775	0.4517386
400	0.3223423	0.0350800	0.0356399	0.6392057	0.5468686	0.0137206	0.7414721	0.7757072	0.5831139	0.5356801
450	0.3678835	0.0615944	0.0209629	0.7800577	0.4682133	0.0296890	0.7051335	0.9095433	0.5055735	0.5055514
500	0.3362539	0.0720590	0.0181508	0.7070905	0.5293955	0.0357462	0.7341586	0.7584757	0.5057278	0.5449490
550	0.2539775	0.0543123	0.0833701	0.6943395	0.6238420	0.0249043	0.7180616	0.7294352	0.4036272	0.4733543
600	0.1823423	0.0460125	0.2327830	0.6161338	0.7178682	0.0058802	0.6808856	0.5193035	0.3140372	0.5506586
650	0.1129032	0.0428266	0.2804458	0.5964053	0.8960927	0.0039392	0.5979446	0.6068405	0.4817687	0.5670374
700	0.1583905	0.0341718	0.3217186	0.5710828	0.7074825	0.0027120	0.6093615	0.6341319	0.5297966	0.5885599
750	0.1331576	0.0315803	0.2894812	0.5578407	0.8495673	0.0035808	0.6966736	0.6649263	0.5398661	0.6916539
800	0.1304569	0.0494974	0.3567709	0.6233040	0.7475993	0.0070160	0.7026501	0.6711371	0.5564296	0.6815304
850	0.1580486	0.0438269	0.2573083	0.5634234	0.7851460	0.0036646	0.6992927	0.6704227	0.5319450	0.5158243
900	0.0879973	0.0299596	0.3055329	0.6012578	0.7343918	0.0156651	0.6532905	0.7386425	0.5840196	0.5365961
950	0.1351306	0.0315229	0.3971701	0.6212418	0.7261907	0.0192400	0.6225757	0.6303419	0.6773166	0.5171563
1000	0.0578270	0.0480134	0.2569140	0.5052320	0.7389487	0.0108719	0.6968382	0.6667210	0.4926523	0.4464722

0	0.1225906	0.0223616	0.3948115	0.5739924	0.7223345	0.0220075	0.8707178	0.8654521	0.4767375	0.5292760
50	0.1386257	0.0546453	0.2955722	0.5392071	0.7103800	0.0212528	0.6995186	0.8163814	0.6155425	0.6592016
100	0.1070474	0.0790681	0.4564382	0.5245455	0.7660304	0.0137711	0.7513975	0.6829877	0.5995326	0.5242886
150	0.1760966	0.0531509	0.3037962	0.5248280	0.8345718	0.0226026	0.6467992	0.8361532	0.5416841	0.5338738
200	0.1989650	0.0596126	0.3338883	0.6290574	0.9062788	0.0052011	0.9192444	0.7810666	0.4224824	0.5902831
250	0.1341662	0.0583914	0.3445269	0.5817599	0.7909869	0.0079219	0.7175287	0.8841116	0.4562142	0.6120861
300	0.1764916	0.0383455	0.3456957	0.5529781	0.7219593	0.0062371	0.6871864	0.7248966	0.4749493	0.5284149
350	0.1257241	0.0232169	0.3296330	0.5160728	0.7576207	0.0102103	0.9509017	0.6946691	0.6239539	0.6193546
400	0.1024346	0.0719340	0.3588812	0.4942907	0.7239817	0.0115159	0.6357099	0.6114825	0.5856216	0.5622027
450	0.1251002	0.0531657	0.4352518	0.6006892	0.7609518	0.0048938	0.6316416	0.7594477	0.5739438	0.5870201
500	0.1106973	0.0525444	0.2401794	0.5858002	0.8304001	0.0098662	0.7101753	0.8625195	0.5277449	0.4364045
550	0.1023070	0.0496972	0.2484976	0.6077257	0.7704775	0.0049366	0.6095835	0.5806603	0.5030769	0.5812205
600	0.1495019	0.0492831	0.3173152	0.7169697	0.6891795	0.0057301	0.8529458	0.7101222	0.5625199	0.5205041
650	0.1090000	0.0299781	0.3477571	0.6231764	0.6258099	0.0113766	0.6996345	0.6359762	0.5095070	0.4996934
700	0.1509472	0.0086426	0.3302535	0.5460733	0.6660483	0.0123989	0.7070974	0.6402766	0.4365880	0.4096703
750	0.0935244	0.0466664	0.3046759	0.7311995	0.6730599	0.0025015	0.6570654	0.6927259	0.4689057	0.5087217
800	0.1000917	0.0787656	0.2595934	0.5614726	0.6631621	0.0104261	0.6748658	0.8067037	0.5065430	0.6311474
850	0.1180370	0.0596810	0.3038192	0.6453724	0.8120010	0.0109283	0.5921932	0.6750887	0.4711569	0.5999346
900	0.1333783	0.0685671	0.3008513	0.5441720	0.7991635	0.0164055	0.6326403	0.7372870	0.6115610	0.5844147
950	0.1595819	0.1066912	0.3335888	0.7066938	0.7735772	0.0070860	0.6168055	0.7023943	0.5605263	0.4747955
1000	0.1329780	0.0744501	0.2840872	0.5921449	0.5550039	0.0087061	0.6479559	0.6663051	0.5948022	0.6650287

0	0.1315285	0.0201051	0.3635620	0.5823081	0.7922170	0.0414411	0.6357041	0.7907260	0.5101261	0.4176330
50	0.1204450	0.2209909	0.2687407	0.5543193	0.6222047	0.0133048	0.6360337	0.6588000	0.6550903	0.5429417
100	0.2447353	0.2208302	0.2621771	0.5237620	0.7657585	0.0210551	0.7084995	0.7136379	0.7906623	0.5437360
150	0.2784806	0.3084320	0.2489836	0.5384728	0.6402266	0.0223317	0.6118970	0.7618172	0.7637418	0.4706195
200	0.4358881	0.3026351	0.2100261	0.5321939	0.8240404	0.0512136	0.6819510	0.7640957	0.7612108	0.4133245
250	0.4105149	0.2899783	0.1368449	0.5388348	0.8308428	0.0176724	0.6903468	0.7252012	0.7516035	0.2806618
300	0.4012911	0.3123139	0.1577000	0.4723415	0.7078241	0.0071659	0.7360445	0.7232773	0.7658149	0.2922030
350	0.4136946	0.2595267	0.1668700	0.8038545	0.7764218	0.0112712	0.7596285	0.8758674	0.8662846	0.2985087
400	0.3684253	0.1955935	0.1529361	0.5536942	0.7785855	0.0107068	0.6930312	0.7454776	0.7772898	0.3563632
450	0.4584741	0.1922219	0.1505558	0.5604364	0.8044425	0.0086527	0.6909148	0.8601414	0.8649123	0.3571070
500	0.3731386	0.2183595	0.1351172	0.5651995	0.7894897	0.0467938	0.7512016	0.6665599	0.7670950	0.2355023
550	0.2898885	0.1181288	0.1934074	0.5958761	0.7628836	0.0312336	0.6947356	0.7495411	0.6235163	0.2137587
600	0.2327518	0.0883233	0.3034218	0.5827853	0.6759911	0.0089198	0.6559465	0.6887877	0.5003483	0.3221257
650	0.2588863	0.0497388	0.2490389	0.5025320	0.8489434	0.0159362	0.6287305	0.7554871	0.4335710	0.5134362
700	0.3339089	0.0469355	0.2540721	0.5371299	0.6710454	0.0173146	0.7606764	0.7100427	0.4893304	0.4819938
750	0.2226033	0.0346266	0.2779655	0.5098028	0.8156356	0.0066553	0.7748227	0.8123774	0.4732862	0.4951804
800	0.1244431	0.0857946	0.3465684	0.5369257	0.7366368	0.0095288	0.7356085	0.6110758	0.5052137	0.4368461
850	0.0857291	0.0598919	0.2860668	0.6008132	0.6865335	0.0145154	0.7272433	0.6811478	0.5718443	0.5034315
900	0.1224305	0.0363669	0.3023795	0.6121378	0.6725168	0.0111562	0.8179099	0.8367442	0.5544714	0.5139207
950	0.1223797	0.0426800	0.3425135	0.6619565	0.8750503	0.0082196	0.6953762	0.6338794	0.6116596	0.4818372
1000	0.1619130	0.0360739	0.2714486	0.6076854	0.8412400	0.0101829	0.5823290	0.8064999	0.5649787	0.4968826

0	0.1233973	0.0150804	0.3016532	0.6222086	0.6498027	0.0171091	0.7110823	0.8271561	0.4554678	0.5872724
50	0.1267406	0.1362853	0.2469661	0.6780514	0.5717384	0.0104429	0.6549913	0.7808442	0.4816231	0.5865901
100	0.2291270	0.2081280	0.2213565	0.4919306	0.3772590	0.0042225	0.8606953	0.9172194	0.4900204	0.4744371
150	0.2768561	0.1957893	0.1491671	0.6697638	0.1543344	0.0001407	0.5672817	0.6811061	0.5866313	0.5915447
200	0.3433025	0.2873813	0.1474408	0.7258076	0.0910638	0.0008752	0.6980033	0.6628674	0.4475146	0.6699625
250	0.4270008	0.3689595	0.1738640	0.6660199	0.0465597	0.0000915	0.6333937	0.6729659	0.4026730	0.5069385
300	0.4613085	0.3328991	0.1264879	0.7666668	0.0341533	0.0000487	0.7880954	0.7132668	0.3045043	0.4620009
350	0.4837292	0.2542046	0.1630298	0.7680847	0.0366934	0.0015639	0.7497497	0.9145837	0.4243200	0.5356044
400	0.4561241	0.3679856	0.1652586	0.6286835	0.0151863	0.0040523	0.6817852	0.7416515	0.4326899	0.7688970
450	0.4552401	0.3103559	0.1374431	0.6776158	0.0068362	0.0023078	0.7733818	0.7708198	0.4619183	0.6183949
500	0.4353613	0.2996774	0.1698027	0.8796675	0.0095549	0.0007283	0.5568416	0.7236212	0.3699112	0.5384120
550	0.5114483	0.1842034	0.2385563	0.6532059	0.2281549	0.0045878	0.6241124	0.6390337	0.3968535	0.5713478
600	0.4161659	0.0819633	0.2159450	0.5860572	0.4399881	0.0053124	0.5054629	0.4855156	0.3199433	0.6180921
650	0.2610551	0.0657500	0.2656459	0.5984670	0.5647924	0.0094308	0.6119735	0.4774164	0.3042766	0.5608310
700	0.2621043	0.0770683	0.2702721	0.5551717	0.7467617	0.0087418	0.5941349	0.5755860	0.4946590	0.6144309
750	0.1402172	0.0393572	0.2733274	0.6287967	0.7403753	0.0465140	0.6468449	0.6595608	0.5563059	0.5379131
800	0.0756392	0.0415144	0.2476972	0.6063024	0.7104736	0.0174648	0.7437721	0.8423636	0.6896686	0.5340264
850	0.0989823	0.0400769	0.2787463	0.6326819	0.7137591	0.0063064	0.6426941	0.6487833	0.5166483	0.6035775
900	0.0827376	0.0530148	0.2781128	0.5853257	0.8690945	0.0088656	0.7419120	0.6506961	0.5856572	0.5032517
950	0.1119593	0.0442424	0.1756997	0.6518028	0.7617046	0.0043871	0.6706900	0.8233251	0.5946849	0.4939967
1000	0.1287752	0.0530343	0.2815728	0.5638305	0.6337394	0.0079878	0.7416884	0.7084427	0.5787349	0.4530630

0	0.2135519	0.0506570	0.3365004	0.5520041	0.9061163	0.0282727	0.8636097	0.7698270	0.5059292	0.5626096
50	0.1620078	0.0650150	0.2847566	0.7306251	0.7531470	0.0148974	0.7574893	0.6241815	0.4959814	0.3067744
100	0.1542076	0.0645444	0.3155872	0.5907652	0.6700545	0.0050670	0.7079988	0.7111788	0.7042573	0.2316125
150	0.1214140	0.1201119	0.3007065	0.5570800	0.5947156	0.0072756	0.7108192	0.7357830	0.4685886	0.3302510
200	0.1911551	0.0955236	0.3317309	0.5911739	0.5593309	0.0010683	0.5945246	0.8350690	0.3909651	0.2390094
250	0.1797694	0.1046528	0.3224937	0.6109992	0.7115238	0.0098679	0.7433720	0.6364311	0.4567265	0.1843961
300	0.2268789	0.1511405	0.2654204	0.6169463	0.5846467	0.0048634	0.6654758	0.6978205	0.3944212	0.2151245
350	0.2146663	0.1080043	0.3626888	0.6134657	0.5281075	0.0225106	0.8417569	0.6245080	0.4364504	0.2106190
400	0.2366720	0.0764649	0.3207774	0.6796219	0.6697999	0.0086920	0.7612506	0.6183586	0.4368269	0.2658903
450	0.2374759	0.0817740	0.2889307	0.4713928	0.5771240	0.0140326	0.7142033	0.5473660	0.3708811	0.2948264
500	0.1897668	0.1079661	0.3707401	0.6014342	0.5413344	0.0212438	0.6403115	0.5511095	0.4212386	0.2112110
550	0.1857453	0.0802230	0.3503742	0.5940430	0.6715560	0.0147308	0.7669753	0.6223107	0.4134291	0.3257135
600	0.2315519	0.0357063	0.3118694	0.6185547	0.7019704	0.0125714	0.6394055	0.6899052	0.4729807	0.4938450
650	0.1663112	0.0396194	0.2781222	0.6016246	0.6758493	0.0083307	0.6740018	0.8074900	0.4262877	0.5770243
700	0.2072400	0.0175110	0.3778433	0.6887559	0.7844310	0.0031527	0.7573370	0.5751387	0.5538399	0.4122706
750	0.1326730	0.0382573	0.3584272	0.7584177	0.7301118	0.0091663	0.7034112	0.7779976	0.4751563	0.5055482
800	0.1478847	0.0384718	0.3032817	0.6312226	0.7860599	0.0103956	0.7231479	0.6591032	0.5309455	0.4257132
850	0.1231305	0.0298627	0.3515530	0.5874791	0.7357667	0.0097353	0.7018828	0.6393094	0.5490264	0.4865532
900	0.1436273	0.0612447	0.3919240	0.5491229	0.9275408	0.0141119	0.7729881	0.6911670	0.5373560	0.4150870
950	0.1580614	0.0268753	0.3468773	0.5276531	0.8193434	0.0428905	0.6885690	0.7279220	0.5560398	0.4938260
1000	0.1211933	0.0365155	0.3633743	0.7016602	0.6631483	0.0105536	0.9018156	0.7592016	0.5786155	0.6203118

0	0.1355569	0.0191302	0.3726260	0.5221711	0.7367857	0.0186860	0.6733831	0.8060374	0.4915386	0.4242630
50	0.1060759	0.0600966	0.2618840	0.5375740	0.7543668	0.0051886	0.7786276	0.6670855	0.6026232	0.4302694
100	0.1264278	0.0684504	0.3776332	0.2667247	0.6842020	0.0279132	0.7395960	0.7093697	0.7307893	0.2875354
150	0.0958837	0.0654282	0.3716701	0.2721774	0.7905592	0.0051223	0.5566883	0.6822266	0.7257646	0.2169898
200	0.0859270	0.0686482	0.4000838	0.2973149	0.7868758	0.0047782	0.7772658	0.7448048	0.6933311	0.1965569
250	0.1000714	0.0774409	0.3130721	0.3939802	0.7010082	0.0048136	0.7082037	0.7762564	0.6548986	0.0678726
300	0.1782714	0.0839653	0.4555372	0.1985287	0.7257023	0.0580016	0.8491729	0.8329994	0.7447397	0.1072684
350	0.1650845	0.0769100	0.3532845	0.2380931	0.7230317	0.0145465	0.8001862	0.7100347	0.7165045	0.0940860
400	0.2012514	0.0740469	0.4211458	0.1437677	0.7154492	0.0065681	0.6620791	0.9989610	0.8864192	0.0996685
450	0.1891621	0.0401511	0.5040046	0.0911709	0.6774625	0.0337070	0.7611169	0.7957185	0.7297454	0.1003896
500	0.1534542	0.0398527	0.4098515	0.2074582	0.6933146	0.0425017	0.6597962	0.8093703	0.7040969	0.0989567
550	0.1573968	0.0411826	0.5127619	0.2816637	0.6564934	0.0393254	0.7361220	0.7765920	0.5183799	0.1275086
600	0.1440537	0.0399704	0.6150613	0.4043698	0.7778756	0.0363201	0.7361226	0.9151684	0.6156363	0.3263551
650	0.1032228	0.1190655	0.6381272	0.6385514	0.7242189	0.0021069	0.8265189	0.7741670	0.6996246	0.3815659
700	0.1416324	0.1079009	0.4983878	0.4979964	0.8133070	0.0356582	0.6901630	0.6923930	0.4742187	0.4196720
750	0.1900332	0.0776353	0.4371291	0.5697053	0.7417012	0.0175960	0.6914868	0.6808409	0.4556480	0.4115543
800	0.1833872	0.0987605	0.3659994	0.6063758	0.6949921	0.0041616	0.7455586	0.7988941	0.6235971	0.4503651
850	0.2149690	0.0132610	0.2864428	0.5786161	0.7044477	0.0056280	0.6678702	0.7435225	0.4320612	0.5053565
900	0.1260319	0.0480964	0.4004795	0.6032607	0.5876354	0.0062004	0.7903668	0.9047554	0.5482324	0.5887901
950	0.1186527	0.0356415	0.3252702	0.6585823	0.7301294	0.0007747	0.7139968	0.6098180	0.4682125	0.6054052
