YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0000000	0.2465101	0.6583896	0.4362337	0.4837271	0.3176002	0.1090695	0.0254664	0.6297007	0.3290775
0.7082358	0.0000000	0.6337235	0.3710101	0.3872674	0.6975002	0.4942692	0.0862556	0.2917885	0.4960844
0.0654427	0.2397911	0.0000000	0.3149448	0.4486962	0.8095563	0.7323224	0.3143799	0.2105763	0.4003102
0.0578957	0.2287653	0.0475285	0.0000000	0.4578042	0.6093572	0.6889812	0.3826745	0.1267859	0.4060775
0.0574576	0.8030484	0.0416783	0.0209806	0.0000000	0.9326428	0.7608459	0.3590967	0.0983831	0.8008235
0.1366296	0.2092064	0.6570308	0.5677574	0.8123379	0.0000000	0.4677257	0.0152691	0.4214079	0.3927460
0.1277011	0.1812882	0.6131218	0.5335496	0.6846821	0.0603315	0.0000000	0.0506231	0.3600981	0.3031053
0.0868462	0.2698189	0.6636831	0.3858393	0.4399358	0.6855814	0.4557646	0.0000000	0.4097033	0.4850996
0.0586268	0.3723821	0.5547032	0.3932469	0.3922641	0.8005987	0.9740330	0.8054796	0.0000000	0.4072211
0.1275811	0.2581679	0.5686905	0.3793687	0.5798128	0.5649492	0.2565483	0.0260846	0.5545391	0.0000000
