YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.2701682	0.9726219	0.5875272	0.7668675	0.4603537	0.8178380	0.9518813	0.0381538	0.1745043	1.0561223
0.9736418	0.4941859	0.5437569	0.7907124	0.5127608	0.8565188	1.0378291	0.0554284	0.2297208	0.9910238
0.9487614	0.4537463	0.2518710	0.8861764	0.5463954	0.8636328	0.9641038	0.0439691	0.1883052	0.9389821
0.5517719	0.9887743	0.8939979	0.4625381	0.6175519	0.7546287	0.9856353	0.0417296	0.2424835	0.9971249
0.5753219	1.0491322	0.7366905	0.5631288	0.3357589	0.8659405	1.0113840	0.0533739	0.1694533	1.0630449
0.6810191	0.8902397	0.5617765	0.8372417	0.6076194	0.4383273	0.9711858	0.0440313	0.2122551	1.0175105
0.6412799	0.9403368	0.9402692	0.2234680	0.1597260	0.6898769	0.5123350	0.0595831	0.2122747	0.9201549
0.6549191	0.8460355	0.4958068	0.7699397	0.5636344	0.8352622	0.9275186	0.0304654	0.2258179	0.9520758
0.5986562	0.9188077	0.4990202	0.8808070	0.5564726	0.8555603	0.9764595	0.0353343	0.1292383	1.0900055
0.6460410	0.9541511	0.6854968	0.4821560	0.2972477	0.8008782	0.8325301	0.1495897	0.6085233	0.4761969
