YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.3341296	0.1374757	0.2346603	0.3551113	0.6690206	0.3994659	0.0404645	0.3235786	0.0940769	0.7484330
0.7015473	0.0462771	0.3721102	0.1446168	0.7934728	0.6438156	0.1311918	0.3640457	0.0452727	0.6883734
0.6661530	0.0930464	0.1502630	0.1468397	0.6553693	0.6793326	0.1890734	0.4445681	0.0783745	0.6943968
0.8000027	0.1237072	0.3855264	0.0653720	0.7004248	0.7218250	0.1557159	0.4030785	0.0735787	0.7379532
0.6792485	0.0843201	0.4167683	0.4937016	0.4273211	0.7383253	0.2582604	0.2217938	0.0668699	0.6627088
0.5598384	0.1099051	0.1730671	0.4702475	0.4406036	0.3509226	0.2983641	0.2195520	0.0587779	0.7654156
0.8240470	0.1196638	0.2026576	0.2980997	0.4734917	0.4715573	0.0679574	0.4030192	0.0455095	0.6885429
0.5704766	0.1276114	0.4519416	0.1587856	0.6541849	0.7407045	0.3687168	0.2133092	0.0683694	0.6457310
0.8082499	0.1112807	0.3397258	0.1698763	0.7092246	0.5615285	0.1211662	0.4248974	0.0353993	0.6197098
0.6504433	0.0853081	0.4967630	0.1584390	0.6434133	0.7426451	0.3954943	0.1104206	0.3180551	0.3612131
