YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.0000000	0.9481679	1.0699136	0.0787524	0.1376371	0.2521049	0.9687429	0.9896597	0.1375577	0.9154573
0.0275543	0.0000000	0.9934147	0.0736123	0.1176313	0.2514517	0.9978783	1.0372170	0.1245854	1.0360669
0.7721018	0.9949447	0.0000000	0.0552677	0.0895330	0.1476131	1.0592980	1.0849933	0.0996496	1.0709013
0.7678837	1.0123977	1.0320665	0.0000000	0.0919514	0.2667505	1.0196999	1.0862015	0.1315762	1.0702833
0.7875029	0.9201506	1.0926621	0.0761936	0.0000000	0.2256831	1.0185850	1.0433227	0.0831133	1.0515823
0.7442739	0.9504807	0.2661354	0.4128398	0.6997159	0.0000000	1.0705166	1.0251691	0.1291660	1.0140479
0.7376061	1.0335767	0.9870515	0.0836974	0.1021994	1.0654622	0.0000000	0.9687743	0.1048237	0.9338980
0.7296746	1.0387810	1.0242379	0.0841725	0.1348894	0.1988577	0.9824655	0.0000000	0.0767576	1.0375891
0.7604599	0.9274728	0.9844126	0.0988380	0.1341459	0.2151168	0.9930472	0.9940967	0.0000000	0.9958186
0.5297392	0.9591281	1.0525037	0.0701881	0.1476872	0.1521892	0.9466514	1.0954025	1.0931479	0.0000000
