"Time"	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
400	0.7945337	0.6960897	0.7035511	0.0434275	0.4587974	0.6286984	0.0507010	0.5019102	0.7645964	0.0330567
450	0.6255874	0.6267403	0.6722190	0.0233684	0.5086637	0.6748531	0.0496278	0.4687864	0.6995485	0.0119091
500	0.7208796	0.6352650	0.7422414	0.0342974	0.4845106	0.6851168	0.0539411	0.5319446	0.6869968	0.0421400
550	0.7052099	0.6469374	0.8928570	0.0526267	0.5812454	0.7165594	0.1450206	0.5003643	0.6799869	0.0209565
600	0.6683150	0.6956164	0.7410198	0.0877711	0.5030741	0.8481619	0.1510271	0.2318394	0.7317617	0.0324555
650	0.6119864	0.6861236	0.6331819	0.0462843	0.4700694	0.6262147	0.1907432	0.1920131	0.7166123	0.0143030
700	0.7638608	0.6226142	0.7130067	0.0388457	0.3917923	0.7235972	0.3679122	0.2418061	0.7455415	0.0269788
750	0.6670171	0.7452320	0.7423123	0.0655684	0.4473428	0.5600918	0.2996754	0.1687063	0.7481042	0.0337310
800	0.6946172	0.6968751	0.7143806	0.1227827	0.3374341	0.5613115	0.3506771	0.1620104	0.9516264	0.0281433
850	0.7126795	0.5650003	0.8351239	0.1140311	0.5691365	0.5944206	0.3174847	0.1548859	0.8955144	0.0216396
900	0.7629050	0.5733127	0.7027507	0.1558465	0.4830181	0.7244363	0.2874156	0.0857341	0.6335472	0.0424508
950	0.8083762	0.7653538	0.8517354	0.1008298	0.4982003	0.5386759	0.3572516	0.1683996	0.6756962	0.0357761
1000	0.7022631	0.7386877	0.7403740	0.1214663	0.3310160	0.4558546	0.4150390	0.1398056	0.6343352	0.0706779

0	0.9228999	0.7462445	0.5283264	0.2841406	0.3792582	0.5620593	0.4459890	0.1174470	0.7448304	0.0281035
50	0.3994841	0.5533727	0.4055283	0.1584985	0.3412065	0.4685365	0.3895862	0.0857418	0.6379270	0.0119341
100	0.1808768	0.4708488	0.1605063	0.2096873	0.3424263	0.4817502	0.4350357	0.1253198	0.6677970	0.0156388
150	0.1526706	0.3533563	0.2085232	0.1429303	0.4219973	0.5630087	0.4372185	0.1084089	0.7570252	0.0820770
200	0.0782316	0.2207718	0.1562954	0.1002320	0.3985679	0.5150823	0.4159043	0.0900911	0.6349177	0.0197919
250	0.1171493	0.1775990	0.1872879	0.1595076	0.4026641	0.4371914	0.4142357	0.1336768	0.6676351	0.0087976
300	0.0395422	0.1685463	0.1096492	0.2064357	0.2360771	0.4894411	0.3460921	0.0852681	0.6863570	0.0282864
350	0.0568182	0.1588038	0.1060532	0.3303159	0.3327637	0.5401084	0.4095748	0.0910722	0.7914351	0.0100625
400	0.0529958	0.1481028	0.0794056	0.3431006	0.3927010	0.6386226	0.4330342	0.1441006	0.7104988	0.0715297
450	0.0684645	0.2483135	0.0716058	0.3028720	0.2556785	0.4717565	0.3512025	0.1755374	0.6393743	0.0638120
500	0.0485474	0.2127992	0.0932390	0.2963089	0.2940188	0.4980261	0.4293902	0.1084670	0.7047891	0.0321771
550	0.2794231	0.1203229	0.3045792	0.3102941	0.3581613	0.4206003	0.3701507	0.0984792	0.7579930	0.2110344
600	0.5382814	0.1397745	0.4481391	0.2926043	0.2853381	0.3837320	0.4701629	0.1490632	0.7649174	0.0980590
650	0.7332567	0.3932339	0.5601397	0.2616842	0.2454649	0.5196966	0.4669977	0.0544183	0.7960220	0.0863186
700	0.6518746	0.5196808	0.5903861	0.2887710	0.3194529	0.5318477	0.5120127	0.1102284	0.7677471	0.0276099
750	0.6066631	0.6792579	0.6108790	0.3306987	0.2664860	0.4769949	0.6023712	0.1043382	0.7259732	0.0665695
800	0.7838445	0.6431714	0.6821726	0.2431539	0.2431231	0.4836378	0.4636248	0.1140026	0.8321920	0.0547095
850	0.8302747	0.6462957	0.6061768	0.2899616	0.2773180	0.4886125	0.3996295	0.0799381	0.7298434	0.0199313
900	0.6368382	0.5866143	0.5787255	0.2934366	0.2379544	0.4119592	0.4712557	0.1178138	0.7204932	0.0084937
950	0.6425225	0.7071244	0.5654293	0.3865003	0.2053909	0.3498317	0.6152738	0.0567954	0.7654630	0.0302292
1000	0.7776910	0.6397901	0.5573969	0.4177863	0.2650754	0.5366103	0.4692268	0.0438191	0.7752231	0.0082845

0	0.7523874	0.7494902	0.5314931	0.3145600	0.2545476	0.5262432	0.4145827	0.1136405	0.7106419	0.0161171
50	0.7308928	0.8868069	0.5772196	0.1798390	0.2953275	0.4266488	0.6364605	0.0872499	0.7691381	0.0173536
100	0.8816095	0.7563114	0.6025635	0.1174182	0.3148636	0.5086988	0.3838641	0.1013846	0.6904176	0.0188770
150	0.8006167	0.6153542	0.8275108	0.1020284	0.2866339	0.4868390	0.4859902	0.0889822	0.5920137	0.0322612
200	0.8326678	0.6646247	0.6649715	0.0885268	0.2267776	0.4555890	0.5375434	0.0695450	0.7216829	0.0413856
250	0.6799463	0.6505805	0.7968020	0.0817214	0.1923814	0.3511894	0.4324309	0.0561610	0.7810173	0.0185229
300	0.7214677	0.6591018	0.7436370	0.1229215	0.2995248	0.4872027	0.4481800	0.0851253	0.6200442	0.0167391
350	0.7569822	0.7836843	0.7480061	0.1398209	0.3760560	0.4565371	0.4699946	0.0775607	0.6192797	0.0116384
400	0.7119657	0.7306136	0.8625205	0.0904191	0.3053000	0.4900456	0.4880730	0.1057832	0.7278019	0.0259425
450	0.6148057	0.6392810	0.7279521	0.0860602	0.3071859	0.5519031	0.4204421	0.1327996	0.6452560	0.0264126
500	0.6998932	0.6899122	0.7431165	0.0930204	0.2807682	0.4689512	0.4221826	0.0979442	0.6513103	0.0259130
550	0.6365507	0.7609021	0.7762832	0.1895706	0.2727282	0.4819124	0.5027771	0.0836381	0.7192862	0.0357865
600	0.6451141	0.6097143	0.6730580	0.2020872	0.3842096	0.4719884	0.4458317	0.0550859	0.6247685	0.0188699
650	0.6619725	0.5518804	0.6492033	0.2206998	0.2807840	0.3671869	0.5496084	0.0614857	0.7994359	0.0114214
700	0.7264617	0.5618706	0.6332514	0.1739792	0.2532498	0.4959348	0.4656444	0.0656743	0.7820669	0.0354253
750	0.8024870	0.6328746	0.6356496	0.1985682	0.2994474	0.4839259	0.4486740	0.0724623	0.6250128	0.0421697
800	0.6953306	0.6132400	0.6584917	0.3301937	0.3004008	0.4127176	0.4668849	0.0745624	0.7071397	0.0398356
850	0.5915903	0.5931245	0.5873613	0.2803284	0.2072666	0.5134245	0.4907189	0.0618134	0.7701854	0.0405578
900	0.7932211	0.5847545	0.5328551	0.4101765	0.2327507	0.5189274	0.4717258	0.0262388	0.7371577	0.0531205
950	0.7261594	0.6994972	0.4577467	0.4262119	0.3357085	0.5166360	0.5513798	0.0419331	0.7094427	0.0299067
1000	0.7490085	0.6666123	0.4627346	0.3727527	0.3402796	0.5573707	0.4593680	0.0655472	0.7440225	0.0582884

