YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.0000000	0.0600426	0.8358290	0.6816750	0.2550472	0.7311342	0.8786731	0.9621466	0.1025835	0.9739232
0.3046410	0.0000000	0.9024568	0.5356568	0.2177324	0.3950370	0.5704323	1.1192247	0.0895423	1.0088646
0.3706701	0.1112919	0.0000000	0.4234186	0.2930339	0.5050569	0.6335064	1.0149069	0.1073749	0.9829114
0.0519497	0.0307613	1.0186945	0.0000000	0.1032027	0.1141242	0.2992001	1.0389778	0.0871724	0.8940386
0.0349098	0.0354790	0.5734706	0.9531810	0.0000000	0.8403968	0.8673882	0.9954647	0.0904215	0.9271078
0.0414389	0.0381770	0.5710547	1.0444438	0.0125649	0.0000000	0.9147699	0.9605951	0.0964778	0.9955651
0.0266340	0.0489182	0.5463740	1.0290449	0.0331759	0.0615412	0.0000000	0.9870417	0.0927365	0.9209870
0.3619608	0.2025682	1.0291942	0.3487609	0.1781189	0.0942904	0.1031706	0.0000000	0.0844054	1.0061703
0.5157692	0.2066860	0.9313257	0.3397124	0.4492004	0.3734075	0.5151467	0.9790655	0.0000000	0.9899920
0.4284322	0.1959930	0.9562188	0.3263437	0.2532289	0.1609713	0.3256856	0.3222785	1.0116673	0.0000000
