YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.3280614	0.4210247	0.8885173	0.4804160	0.5415885	0.3567873	0.4666068	0.0096289	0.2339554	0.2790646
1.0090753	0.0589492	0.0833256	0.6119890	0.7706547	0.2701192	0.9623363	0.0026664	0.3828128	0.7460134
0.7208287	0.1754325	0.4508803	0.0205018	0.3858289	0.5446842	0.6212205	0.0303746	0.6862616	0.4425173
0.0662204	0.7354771	0.8570054	0.4367736	0.4383293	0.4818175	0.9735842	0.2531212	0.0659199	0.2751330
0.3684772	0.4388606	0.8700820	0.2772516	0.1106008	0.7031953	0.6583805	0.0024440	0.5775520	0.1483797
0.4791459	0.2483616	0.6136554	0.5260553	0.1231469	0.8923444	0.8441725	0.0551545	0.4260610	0.1738149
0.2383419	0.5943751	0.8232497	0.0003928	0.0758659	0.7679891	0.7911701	0.0450939	0.1966107	0.2371622
0.1651005	0.6226890	0.9445576	0.4031781	0.1392768	0.9349895	0.8267674	0.0028344	0.2885528	0.1250877
0.1848663	0.5909132	0.9400886	0.1572930	0.1292055	0.8740587	0.9416378	0.0451728	0.1965189	0.0641709
0.3105171	0.4873738	0.8229726	0.0068423	0.2050950	0.6982314	0.7997199	0.0253057	0.1825677	0.2413067
