"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
400	0.1338238	0.4310194	0.4540925	0.9580366	0.9375083	0.5837414	0.0631100	0.1213815	1.0000000	0.9990720
450	0.1335768	0.4290850	0.4538759	0.9580095	0.9369045	0.5824640	0.0631100	0.1213815	1.0000000	0.9990491
500	0.1335147	0.4281874	0.4538163	0.9579635	0.9365365	0.5818753	0.0631100	0.1213815	1.0000000	0.9990330
550	0.1831515	0.4288065	0.4851200	0.7305658	0.9277994	0.3283357	0.0631100	0.1213815	1.0000000	0.9986105
600	0.3279961	0.4392937	0.5547249	0.6594434	0.8955866	0.2574428	0.0631100	0.1213815	1.0000000	0.9956359
650	0.4579911	0.4609236	0.6084806	0.6221894	0.8550318	0.2488484	0.0631100	0.1213815	1.0000000	0.9881094
700	0.5520468	0.4844513	0.6448367	0.5896696	0.8279774	0.2583469	0.0631100	0.1213815	1.0000000	0.9801025
750	0.6259159	0.5043568	0.6727211	0.5637629	0.8191653	0.2703399	0.0631100	0.1213815	1.0000000	0.9766316
800	0.6810012	0.5198735	0.6939227	0.5491707	0.8211590	0.2807239	0.0631100	0.1213815	1.0000000	0.9770833
850	0.7143323	0.5314874	0.7072654	0.5447753	0.8268799	0.2887696	0.0631100	0.1213815	1.0000000	0.9790808
900	0.7285153	0.5395657	0.7132166	0.5464224	0.8327427	0.2944150	0.0631100	0.1213815	1.0000000	0.9811827
950	0.7299595	0.5445087	0.7140062	0.5504222	0.8374359	0.2978577	0.0631100	0.1213815	1.0000000	0.9828575
1000	0.7249918	0.5469550	0.7121228	0.5545937	0.8406853	0.2995371	0.0631100	0.1213815	1.0000000	0.9840123

0	0.7038835	0.5447464	0.7036422	0.5612501	0.8426085	0.2978781	0.0631100	0.1213815	1.0000000	0.9848532
50	0.7030778	0.5448253	0.7033378	0.5644299	0.8780868	0.7392347	0.0630188	0.0416555	1.0000000	0.4997583
100	0.6915076	0.5446964	0.6990011	0.5861090	0.9270605	0.8755776	0.0629118	0.0222288	1.0000000	0.3328330
150	0.6536355	0.5434950	0.6850666	0.6160935	0.9514466	0.9174527	0.0628737	0.0174951	1.0000000	0.2751755
200	0.6017246	0.5400655	0.6662696	0.6388971	0.9615279	0.9297263	0.0628627	0.0163417	1.0000000	0.2552485
250	0.5564780	0.5346025	0.6499096	0.6521832	0.9654644	0.9325656	0.0628597	0.0160606	1.0000000	0.2483608
300	0.5259698	0.5284848	0.6387724	0.6588914	0.9669415	0.9324896	0.0628588	0.0159921	1.0000000	0.2459800
350	0.5083849	0.5230553	0.6322606	0.6619847	0.9674606	0.9317093	0.0628586	0.0159755	1.0000000	0.2451569
400	0.4992563	0.5189639	0.6288271	0.6633157	0.9676181	0.9309560	0.0628585	0.0159714	1.0000000	0.2448723
450	0.4948713	0.5162317	0.6271514	0.6638511	0.9676478	0.9304141	0.0628585	0.0159704	1.0000000	0.2447739
500	0.4928985	0.5145687	0.6263849	0.6640484	0.9676390	0.9300757	0.0628585	0.0159702	1.0000000	0.2447398
550	0.4920981	0.5136288	0.6260665	0.6638434	0.9624289	0.4775263	0.0628612	0.0956962	1.0000000	0.7386340
600	0.4931956	0.5131433	0.6264279	0.6600227	0.9405476	0.3375576	0.0628994	0.1151228	1.0000000	0.9088306
650	0.5017867	0.5130832	0.6294137	0.6476720	0.9059250	0.2943806	0.0629775	0.1198565	1.0000000	0.9654932
700	0.5250830	0.5138635	0.6375560	0.6263584	0.8722950	0.2816315	0.0630442	0.1210099	1.0000000	0.9812691
750	0.5641489	0.5161619	0.6513070	0.6015738	0.8494837	0.2792040	0.0630818	0.1212910	1.0000000	0.9833689
800	0.6107564	0.5203152	0.6680077	0.5801951	0.8378420	0.2809687	0.0630990	0.1213595	1.0000000	0.9824226
850	0.6532264	0.5258796	0.6836859	0.5657367	0.8337077	0.2846205	0.0631060	0.1213762	1.0000000	0.9817491
900	0.6842812	0.5318260	0.6955627	0.5580206	0.8336665	0.2887933	0.0631086	0.1213802	1.0000000	0.9818436
950	0.7028734	0.5371210	0.7029248	0.5551688	0.8354575	0.2925519	0.0631095	0.1213812	1.0000000	0.9824307
1000	0.7115662	0.5411503	0.7064945	0.5551690	0.8377447	0.2954063	0.0631098	0.1213815	1.0000000	0.9831745

0	0.7038835	0.5447464	0.7036422	0.5612501	0.8426085	0.2978781	0.0631100	0.1213815	1.0000000	0.9848532
50	0.6012616	0.5954828	0.4070235	0.7411615	0.9261591	0.2846360	0.0631130	0.1262668	0.8991457	0.9847563
100	0.4155399	0.5688172	0.2823390	0.8054542	0.9463124	0.2406106	0.0631467	0.1374680	0.8631398	0.9824593
150	0.3049748	0.5186550	0.2297468	0.8297183	0.9455374	0.1906416	0.0632247	0.1459883	0.8502853	0.9726643
200	0.2547274	0.4747658	0.2083816	0.8374397	0.9352769	0.1533212	0.0633198	0.1504972	0.8456961	0.9449192
250	0.2349990	0.4454924	0.2002445	0.8376869	0.9207192	0.1309701	0.0633999	0.1525157	0.8440577	0.8857777
300	0.2294194	0.4287963	0.1977536	0.8344666	0.9062037	0.1192042	0.0634530	0.1533426	0.8434728	0.7967165
350	0.2302942	0.4203315	0.1977023	0.8300133	0.8946965	0.1135783	0.0634829	0.1536646	0.8432640	0.7024598
400	0.2338422	0.4165685	0.1986315	0.8257412	0.8870461	0.1111846	0.0634980	0.1537861	0.8431894	0.6272218
450	0.2380002	0.4152590	0.1998064	0.8223822	0.8826418	0.1103872	0.0635050	0.1538311	0.8431628	0.5782596
500	0.2416648	0.4151119	0.2008602	0.8201028	0.8804348	0.1103182	0.0635081	0.1538476	0.8431533	0.5511410
550	0.3151772	0.3359178	0.4536474	0.6146826	0.6490983	0.1249725	0.0635010	0.1473819	0.9440042	0.5453862
600	0.5598382	0.3773614	0.6146842	0.4611809	0.6199353	0.1722915	0.0634290	0.1352236	0.9800089	0.6232088
650	0.7905022	0.4471043	0.7378361	0.3877508	0.6739872	0.2272014	0.0633154	0.1274994	0.9928630	0.7707011
700	0.8978441	0.5077890	0.8063333	0.3938448	0.7419821	0.2721637	0.0632225	0.1238570	0.9974520	0.8825144
750	0.9215470	0.5486594	0.8207652	0.4390830	0.7936478	0.3014846	0.0631657	0.1223366	0.9990903	0.9414008
800	0.8959572	0.5699015	0.8012362	0.4880025	0.8257879	0.3162843	0.0631358	0.1217399	0.9996752	0.9686292
850	0.8435278	0.5761582	0.7700525	0.5252681	0.8433609	0.3204018	0.0631213	0.1215137	0.9998841	0.9805787
900	0.7869988	0.5732064	0.7414800	0.5490235	0.8514684	0.3180964	0.0631148	0.1214298	0.9999586	0.9855561
950	0.7416543	0.5661462	0.7207467	0.5621890	0.8538142	0.3129773	0.0631120	0.1213990	0.9999852	0.9873318
1000	0.7119244	0.5585076	0.7078636	0.5682147	0.8529486	0.3075134	0.0631108	0.1213878	0.9999947	0.9876051

0	0.7038835	0.5447464	0.7036422	0.5612501	0.8426085	0.2978781	0.0631100	0.1213815	1.0000000	0.9848532
50	0.5499074	0.5434748	0.6488642	0.8328895	0.8427378	0.2969325	0.0631100	0.1213815	1.0000000	0.8245044
100	0.3194716	0.5305148	0.5554056	0.9101194	0.8418841	0.2873898	0.0631100	0.1213815	1.0000000	0.7688719
150	0.2087474	0.5051789	0.5009259	0.9319643	0.8372926	0.2688504	0.0631100	0.1213815	1.0000000	0.7486878
200	0.1663393	0.4786000	0.4768567	0.9377535	0.8274888	0.2496203	0.0631100	0.1213815	1.0000000	0.7395759
250	0.1514865	0.4583510	0.4675154	0.9385663	0.8141365	0.2351934	0.0631100	0.1213815	1.0000000	0.7332135
300	0.1468456	0.4456821	0.4643711	0.9376592	0.8004916	0.2263144	0.0631100	0.1213815	1.0000000	0.7273758
350	0.1459005	0.4387855	0.4636964	0.9361971	0.7892001	0.2215588	0.0631100	0.1213815	1.0000000	0.7221397
400	0.1462487	0.4354602	0.4639514	0.9347347	0.7812792	0.2193047	0.0631100	0.1213815	1.0000000	0.7180333
450	0.1469615	0.4340811	0.4644849	0.9335430	0.7764287	0.2183913	0.0631100	0.1213815	1.0000000	0.7152468
500	0.1476618	0.4336603	0.4650154	0.9327007	0.7738014	0.2181278	0.0631100	0.1213815	1.0000000	0.7135929
550	0.2361099	0.4351211	0.5120135	0.6202748	0.7726006	0.2192075	0.0631100	0.1213815	1.0000000	0.8672130
600	0.4975137	0.4508051	0.6183028	0.5305329	0.7739757	0.2306328	0.0631100	0.1213815	1.0000000	0.9214343
650	0.6859514	0.4819244	0.6940371	0.5064638	0.7827646	0.2532994	0.0631100	0.1213815	1.0000000	0.9453573
700	0.7684755	0.5132710	0.7297584	0.5057520	0.7988742	0.2759600	0.0631100	0.1213815	1.0000000	0.9608559
750	0.7917057	0.5357596	0.7405343	0.5158220	0.8161663	0.2919936	0.0631100	0.1213815	1.0000000	0.9717041
