YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.0000001	0.0556347	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
0.9999999	0.0000047	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
0.9999006	0.0556169	0.0000002	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
0.9999000	0.0556248	0.0019518	0.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
0.6102010	0.6281031	0.5930656	1.0000000	0.0000021	0.9999932	1.0000000	1.0000000	1.0000000	1.0000000
0.6102009	0.6281031	0.5930656	1.0000000	1.0000000	0.0000022	1.0000000	1.0000000	1.0000000	1.0000000
0.6102010	0.6281031	0.5930656	1.0000000	1.0000000	0.0008253	0.0000003	1.0000000	1.0000000	1.0000000
0.6102010	0.6281031	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	0.0000020	1.0000000	1.0000000
0.6102010	0.6281031	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	0.0000045	1.0000000
0.6102010	0.6281031	0.5930656	1.0000000	1.0000000	0.9999932	1.0000000	1.0000000	1.0000000	0.0000043
