"Time"	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C

0	0.0767703	0.9999511	0.0145123	0.1002625	0.2574595	0.9994127	0.0524318	0.0552218	0.8692724	1.0000000
50	0.1435683	0.9039478	0.0145093	0.0991275	0.2532271	0.9986546	0.2033519	0.0561636	0.8692724	1.0000000
100	0.2212062	0.7997304	0.0144932	0.0959172	0.2568973	0.9855168	0.4119276	0.1438776	0.8692724	1.0000000
150	0.2688375	0.7430719	0.0144636	0.0974922	0.2736558	0.9437004	0.5586402	0.4341725	0.8692724	1.0000000
200	0.3014661	0.7171924	0.0144796	0.1126396	0.3054010	0.8832194	0.6441213	0.6959861	0.8692724	1.0000000
250	0.3399664	0.7061974	0.0147175	0.1512993	0.3459354	0.8247809	0.6897058	0.8488262	0.8692724	1.0000000
300	0.3984012	0.7014881	0.0157896	0.2156666	0.3845258	0.7795984	0.7128156	0.9238898	0.8692724	1.0000000
350	0.4735744	0.6983420	0.0193650	0.2917431	0.4144151	0.7490419	0.7241566	0.9578157	0.8692724	1.0000000
400	0.5496987	0.6926922	0.0277995	0.3603349	0.4348136	0.7300917	0.7296092	0.9725073	0.8692724	1.0000000
450	0.6136745	0.6813321	0.0417501	0.4111519	0.4481604	0.7190161	0.7322198	0.9787387	0.8692724	1.0000000
500	0.6614646	0.6647326	0.0588267	0.4437952	0.4573728	0.7128047	0.7335118	0.9813639	0.8692724	1.0000000
550	0.6712307	0.7396996	0.0755432	0.4699157	0.4698096	0.7171608	0.5824952	0.9801124	0.8692724	1.0000000
600	0.6685121	0.8194350	0.0921425	0.5036127	0.4606223	0.7652084	0.3734762	0.9374895	0.8692724	1.0000000
650	0.6485803	0.8495878	0.1091754	0.5086412	0.4279323	0.8415038	0.2269504	0.7237218	0.8692724	1.0000000
700	0.5863919	0.8637792	0.1174937	0.4612621	0.3817797	0.9079317	0.1445903	0.4263931	0.8692724	1.0000000
750	0.4788709	0.8925380	0.1074829	0.3727594	0.3376949	0.9510146	0.1121859	0.2272871	0.8692724	1.0000000
800	0.3561023	0.9318908	0.0830406	0.2783662	0.3046580	0.9746625	0.1115237	0.1281652	0.8692724	1.0000000
850	0.2516575	0.9639196	0.0571322	0.2048206	0.2835524	0.9862457	0.1145326	0.0851782	0.8692724	1.0000000
900	0.1784749	0.9829568	0.0379996	0.1576224	0.2715982	0.9916043	0.1080164	0.0678456	0.8692724	1.0000000
950	0.1332193	0.9924659	0.0264738	0.1307583	0.2653448	0.9943024	0.0950249	0.0608576	0.8692724	1.0000000
1000	0.1073940	0.9967819	0.0203159	0.1165150	0.2621126	0.9959729	0.0815357	0.0578367	0.8692724	1.0000000

0	0.0767703	0.9999511	0.0145123	0.1002625	0.2574595	0.9994127	0.0524318	0.0552218	0.8692724	1.0000000
50	0.2078006	0.9776985	0.0146983	0.1695626	0.2557888	0.9994186	0.0524097	0.0552213	0.8692724	1.0000000
100	0.3611596	0.9530970	0.0163325	0.2253928	0.2556532	0.9994215	0.0525121	0.0552210	0.8692724	1.0000000
150	0.4509014	0.9387605	0.0194953	0.2475005	0.2564555	0.9994206	0.0531172	0.0552212	0.8692724	1.0000000
200	0.4946516	0.9313741	0.0226712	0.2552795	0.2572212	0.9994106	0.0545055	0.0552225	0.8692724	1.0000000
250	0.5143169	0.9277677	0.0249695	0.2581136	0.2577312	0.9993853	0.0564811	0.0552258	0.8692724	1.0000000
300	0.5227971	0.9260701	0.0263638	0.2592644	0.2580315	0.9993432	0.0585785	0.0552316	0.8692724	1.0000000
350	0.5263800	0.9252892	0.0271307	0.2597916	0.2582048	0.9992893	0.0604133	0.0552395	0.8692724	1.0000000
400	0.5278852	0.9249333	0.0275309	0.2600590	0.2583105	0.9992318	0.0618180	0.0552484	0.8692724	1.0000000
450	0.5285234	0.9247704	0.0277348	0.2602076	0.2583807	0.9991785	0.0627959	0.0552570	0.8692724	1.0000000
500	0.5288018	0.9246944	0.0278386	0.2602981	0.2584307	0.9991341	0.0634315	0.0552645	0.8692724	1.0000000
550	0.3981232	0.9474509	0.0269509	0.1910954	0.2600923	0.9991003	0.0637973	0.0552702	0.8692724	1.0000000
600	0.2453613	0.9734498	0.0232082	0.1355292	0.2600767	0.9990778	0.0634942	0.0552740	0.8692724	1.0000000
650	0.1559118	0.9881287	0.0194301	0.1134910	0.2591992	0.9990746	0.0619890	0.0552740	0.8692724	1.0000000
700	0.1120622	0.9949850	0.0169899	0.1055958	0.2584692	0.9990999	0.0597149	0.0552685	0.8692724	1.0000000
750	0.0921338	0.9979320	0.0156819	0.1026320	0.2580304	0.9991506	0.0574360	0.0552589	0.8692724	1.0000000
800	0.0834022	0.9991453	0.0150439	0.1014052	0.2577894	0.9992128	0.0556032	0.0552484	0.8692724	1.0000000
850	0.0796374	0.9996331	0.0147485	0.1008461	0.2576551	0.9992725	0.0543160	0.0552393	0.8692724	1.0000000
900	0.0780162	0.9998264	0.0146155	0.1005689	0.2575755	0.9993219	0.0534908	0.0552325	0.8692724	1.0000000
950	0.0773083	0.9999025	0.0145565	0.1004203	0.2575255	0.9993586	0.0529950	0.0552278	0.8692724	1.0000000
1000	0.0769895	0.9999324	0.0145302	0.1003346	0.2574933	0.9993840	0.0527110	0.0552249	0.8692724	1.0000000

0	0.0767703	0.9999511	0.0145123	0.1002625	0.2574595	0.9994127	0.0524318	0.0552218	0.8692724	1.0000000
50	0.1569889	0.9556240	0.1931337	0.0847638	0.1188984	0.9993893	0.0706514	0.2205747	0.8692724	1.0000000
100	0.2447219	0.9075151	0.4009893	0.0563921	0.0384911	0.9988010	0.1278292	0.4013639	0.8692724	1.0000000
150	0.2947922	0.8813671	0.5220737	0.0426589	0.0141435	0.9964817	0.1680815	0.5005001	0.8692724	1.0000000
200	0.3188404	0.8694276	0.5808042	0.0377187	0.0074679	0.9929859	0.1814970	0.5477871	0.8692724	1.0000000
250	0.3294654	0.8643717	0.6069854	0.0361114	0.0057361	0.9900635	0.1812790	0.5692419	0.8692724	1.0000000
300	0.3339348	0.8623127	0.6181160	0.0356107	0.0053236	0.9884987	0.1769680	0.5779920	0.8692724	1.0000000
350	0.3357555	0.8614926	0.6227099	0.0354581	0.0052401	0.9880522	0.1727389	0.5807965	0.8692724	1.0000000
400	0.3364806	0.8611703	0.6245690	0.0354120	0.0052273	0.9881985	0.1697812	0.5811866	0.8692724	1.0000000
450	0.3367647	0.8610445	0.6253111	0.0353982	0.0052249	0.9885364	0.1680579	0.5808284	0.8692724	1.0000000
500	0.3368747	0.8609958	0.6256045	0.0353940	0.0052220	0.9888594	0.1671928	0.5803854	0.8692724	1.0000000
550	0.2459272	0.9053062	0.4469850	0.0355599	0.1509324	0.9891643	0.1630491	0.4172676	0.8692724	1.0000000
600	0.1427827	0.9534217	0.2390021	0.0437380	0.2334738	0.9893865	0.1762389	0.2392251	0.8692724	1.0000000
650	0.0942677	0.9795816	0.1178125	0.0667525	0.2570796	0.9884041	0.1955629	0.1474340	0.8692724	1.0000000
700	0.0812762	0.9915249	0.0590790	0.0882621	0.2634823	0.9867032	0.1853260	0.1117624	0.8692724	1.0000000
750	0.0810530	0.9965728	0.0330072	0.1009508	0.2654601	0.9867713	0.1524275	0.0929870	0.8692724	1.0000000
800	0.0833459	0.9986158	0.0220390	0.1069228	0.2654947	0.9891037	0.1177673	0.0774792	0.8692724	1.0000000
850	0.0848327	0.9994199	0.0175923	0.1088411	0.2642196	0.9922344	0.0913757	0.0665619	0.8692724	1.0000000
900	0.0848318	0.9997315	0.0158302	0.1083748	0.2624131	0.9949284	0.0742560	0.0604344	0.8692724	1.0000000
950	0.0837018	0.9998530	0.0151305	0.1067590	0.2607301	0.9968041	0.0641500	0.0574656	0.8692724	1.0000000
1000	0.0820858	0.9999025	0.0148383	0.1048995	0.2594594	0.9979646	0.0585379	0.0561492	0.8692724	1.0000000

0	0.0767703	0.9999511	0.0145123	0.1002625	0.2574595	0.9994127	0.0524318	0.0552218	0.8692724	1.0000000
50	0.2348610	0.9999533	0.0144960	0.0849096	0.1211509	0.9638736	0.0524062	0.0552213	0.8692724	1.0000000
100	0.4164714	0.9999671	0.0143660	0.0565287	0.0422849	0.9226123	0.0523840	0.0552210	0.8692724	1.0000000
150	0.5220028	0.9999824	0.0141887	0.0427170	0.0186155	0.8981591	0.0523345	0.0552208	0.8692724	1.0000000
200	0.5730764	0.9999917	0.0140607	0.0377388	0.0122339	0.8858454	0.0522544	0.0552207	0.8692724	1.0000000
250	0.5957359	0.9999963	0.0139889	0.0361178	0.0106190	0.8800418	0.0521659	0.0552205	0.8692724	1.0000000
300	0.6052926	0.9999983	0.0139533	0.0356127	0.0102487	0.8773920	0.0520892	0.0552203	0.8692724	1.0000000
350	0.6091925	0.9999992	0.0139369	0.0354587	0.0101820	0.8762021	0.0520323	0.0552200	0.8692724	1.0000000
400	0.6107479	0.9999995	0.0139297	0.0354122	0.0101798	0.8756728	0.0519944	0.0552198	0.8692724	1.0000000
450	0.6113578	0.9999996	0.0139266	0.0353982	0.0101865	0.8754386	0.0519711	0.0552197	0.8692724	1.0000000
500	0.6115940	0.9999997	0.0139254	0.0353941	0.0101916	0.8753354	0.0519574	0.0552196	0.8692724	1.0000000
550	0.4410189	0.9999997	0.0139249	0.0359346	0.1872036	0.9108351	0.0519499	0.0552195	0.8692724	1.0000000
600	0.2509604	0.9999996	0.0139284	0.0561796	0.2724351	0.9520796	0.0519459	0.0552195	0.8692724	1.0000000
650	0.1624549	0.9999958	0.0139916	0.0965239	0.2813330	0.9765260	0.0519467	0.0552194	0.8692724	1.0000000
700	0.1280668	0.9999715	0.0142370	0.1177927	0.2736138	0.9888373	0.0519723	0.0552194	0.8692724	1.0000000
750	0.1101458	0.9999318	0.0145668	0.1192426	0.2663242	0.9946406	0.0520601	0.0552195	0.8692724	1.0000000
800	0.0979024	0.9999089	0.0147671	0.1137156	0.2618884	0.9972903	0.0522073	0.0552197	0.8692724	1.0000000
850	0.0893843	0.9999087	0.0148020	0.1082137	0.2595594	0.9984792	0.0523594	0.0552200	0.8692724	1.0000000
900	0.0838716	0.9999192	0.0147476	0.1045041	0.2584208	0.9990069	0.0524663	0.0552204	0.8692724	1.0000000
950	0.0805638	0.9999306	0.0146730	0.1023745	0.2578862	0.9992393	0.0525143	0.0552207	0.8692724	1.0000000
1000	0.0786980	0.9999392	0.0146102	0.1012549	0.2576413	0.9993413	0.0525169	0.0552209	0.8692724	1.0000000

0	0.0767703	0.9999511	0.0145123	0.1002625	0.2574595	0.9994127	0.0524318	0.0552218	0.8692724	1.0000000
50	0.1748510	0.9029514	0.2069909	0.1000786	0.2584615	0.9994052	0.0665349	0.0552232	0.8692724	1.0000000
100	0.2904475	0.7976509	0.4310171	0.1001716	0.2638397	0.9986609	0.1666812	0.0557749	0.8692724	1.0000000
150	0.3601950	0.7404008	0.5615647	0.1028940	0.2724270	0.9914781	0.3198322	0.0882631	0.8692724	1.0000000
200	0.3979786	0.7142507	0.6249131	0.1097854	0.2848033	0.9673677	0.4375612	0.2826424	0.8692724	1.0000000
250	0.4219460	0.7031634	0.6531897	0.1236718	0.3041722	0.9339471	0.4245724	0.5293504	0.8692724	1.0000000
