YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.4538903	0.0650436	0.0626566	0.8086604	0.9661541	1.0888083	0.0576396	1.0693354	0.0627551	0.9644772
1.0791108	0.0049731	0.0384750	0.8888626	0.9052876	1.0433946	0.0465835	1.0075393	0.0414731	0.8562863
0.6087551	0.7491129	0.0271392	0.8676553	0.9422462	1.0468197	0.2700332	1.0352540	0.0653884	0.9609254
1.0372267	0.0024118	0.0892499	0.4053700	0.9547605	0.9889502	0.0302658	0.9950980	0.0566292	1.0316492
1.0013987	0.0040681	0.0616800	0.7544075	0.4502438	1.0120577	0.0553624	1.0124584	0.0650098	1.0334096
1.0433017	0.0135196	0.0735979	0.7373777	0.9148730	0.5289301	0.0447372	0.9895902	0.0581234	1.0213395
0.9757549	0.0255860	0.0515704	0.9182906	0.9505007	1.0165328	0.0138071	1.0205970	0.0409579	0.9708860
0.8768853	0.0276443	0.0511878	0.8750344	0.9274269	1.0190132	0.0460675	0.5157031	0.0463308	0.9595372
0.9044446	0.0291519	0.0677258	0.8482454	0.9170598	0.9567658	0.0318219	0.9522488	0.0224551	1.0314007
1.0779858	0.0022687	0.0643485	0.9325945	0.9380296	0.9461034	0.0979080	0.9974276	0.1766864	0.4695022
