YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.0000000	0.2367256	0.5351012	0.3713595	0.8982760	0.3537350	0.6012172	0.7733263	0.0678597	0.8370632
0.0404799	0.0000000	0.5801884	0.3364581	0.7035795	0.4418934	0.6452372	0.6809378	0.0729355	0.8135011
0.0230459	0.0610216	0.0000000	0.4089778	0.6924812	0.4598086	0.6022125	0.7403617	0.0818255	0.6883378
0.1929955	0.4489272	0.6897765	0.0000000	0.7632032	0.4548225	0.7733710	0.6056912	0.0534636	0.6990846
0.1561141	0.3746703	0.8727711	0.0240092	0.0000000	0.4630775	0.5316769	0.7412925	0.1055494	0.8430067
0.1908868	0.5351299	0.7737259	0.0181374	0.0000341	0.0000000	0.7950285	0.6115046	0.0757148	0.8592488
0.3287148	0.4770013	0.9093230	0.0131347	0.0665396	0.0195023	0.0000000	0.9489385	0.0559304	0.8238482
0.2835119	0.5577074	0.6381835	0.4483042	0.7069190	0.5509280	0.8629793	0.0000000	0.1333997	0.6660310
0.0336840	0.1477536	0.6999937	0.5373281	0.8042732	0.4912785	0.5774111	0.9274979	0.0000000	0.7154707
0.2566662	0.5397281	0.6034132	0.3877213	0.7939691	0.3956013	0.7353074	0.0379024	0.8206976	0.0000000
