YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
1.0000000	0.1302503	0.9551124	0.9688708	0.0002616	0.1995450	0.0518538	0.0833985	0.8655604	0.0721402
1.0000000	0.8603044	0.9991214	0.7843588	0.1357157	0.5819521	0.3330231	0.5597300	0.5503291	0.9213694
1.0000000	0.8457289	0.9996247	0.9421911	0.0384410	0.2616707	0.0618758	0.3432776	0.7588710	0.8178592
1.0000000	0.9481487	0.9997536	0.9922425	0.3236083	0.0000120	0.0033500	0.1678530	0.8310241	1.0000000
1.0000000	0.9206967	0.9686666	0.8286976	0.3124265	0.3703502	0.1608329	0.3055628	0.8287528	0.9349453
1.0000000	0.9383468	0.9618657	0.7708486	0.4374959	0.2128729	0.1943938	0.3504810	0.7478148	0.9942156
1.0000000	0.9597850	0.9998763	0.9558917	0.0200435	0.1946468	0.0387732	0.3050328	0.8298959	0.9999911
0.9746918	0.9407440	0.9997183	0.9542564	0.0223173	0.0052987	0.0441564	0.3151104	0.8086970	0.8807523
0.9396590	0.8689127	0.9501031	0.9798285	0.0084393	0.1002435	0.0134469	0.2349780	0.8499494	0.9999999
0.9825772	0.8739063	0.9500339	0.7101082	0.2222486	0.3517243	0.2283211	0.3224131	0.7945782	0.7209130
