YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.7988941	0.5425270	0.4660985	0.9348835	0.4983850	0.9138540	0.2156285	0.5411436	0.7870540	0.9720355
0.8309935	0.5965328	0.3720126	0.5899355	0.5565488	0.8267904	0.4307422	0.5313830	0.8561662	0.9977459
0.2973057	0.3473275	0.3018175	0.5767733	0.5752004	0.9479838	0.1803119	0.5954801	1.0533396	1.0712197
0.9208867	0.4749036	0.4034038	0.7344129	0.4722079	0.7786907	0.3635502	0.5672591	0.9763214	1.0491078
0.8135595	0.4798806	0.6097014	0.6960999	0.4176635	0.8803292	0.3061584	0.4952373	0.8939100	0.8613465
0.8476567	0.5035972	0.4958134	0.6639316	0.5385968	0.9683754	0.2605134	0.3930195	0.7873038	0.9337215
0.1699925	0.2170868	0.4743083	0.8857661	0.3554857	0.5281737	0.5756165	0.4134685	0.3043722	0.2955987
0.8631012	0.6599841	0.4267886	0.5331183	0.6766597	0.8127780	0.3348683	0.3664963	0.8210305	0.9988594
0.8344620	0.6593953	0.2471656	0.4597722	0.3673234	0.4914985	0.3036523	0.5394246	0.8212023	0.9194835
0.7998775	0.5809091	0.5066999	0.4796493	0.3430054	0.6224245	0.3056738	0.4633114	0.7989502	0.8505679
