YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.4334987	0.9989290	0.8060833	0.3146576	0.3346459	0.4633950	0.3690983	0.4864292	0.2738291	1.0000000
0.6336663	0.9886426	0.3470285	0.0962611	0.6345227	0.6982079	0.5120924	0.9161464	0.4752032	0.7783488
0.0833414	0.9998261	0.7516766	0.1947311	0.4402762	0.7317370	0.5032954	0.9420450	0.4997364	0.7397147
0.0159031	0.9998138	0.7797523	0.2848463	0.3555205	0.6250117	0.5194147	0.8951911	0.6080961	1.0000000
0.5664881	0.9987693	0.7025112	0.2016128	0.3748492	0.6483551	0.5473912	0.8186793	0.4365061	0.5132035
0.5812633	0.9935530	0.3771234	0.0532449	0.7016686	0.5788494	0.4697835	0.7753863	0.5404724	1.0000000
0.3972287	0.9985741	0.6382207	0.1400830	0.5236098	0.7054748	0.5416111	0.7731657	0.6479813	1.0000000
0.4084426	0.9697822	0.2804326	0.0533610	0.6555765	0.6242987	0.5186311	0.8973814	0.5300104	1.0000000
0.0926476	0.9989230	0.8005171	0.2387798	0.3935205	0.6676590	0.5077156	0.9290007	0.5450689	0.7672893
0.1673283	0.9979994	0.5494241	0.1361517	0.4666792	0.6262522	0.5208221	0.8912023	0.4183679	0.5909157
