"Time"	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
400	0.0031962	0.4868046	0.6637867	0.6252370	0.4252665	0.4943716	0.0058398	0.7105109	0.1389702	0.5347813
450	0.0006109	0.3831280	0.6738311	0.6416346	0.5128691	0.3818243	0.0140507	0.6180298	0.1787001	0.6897342
500	0.0016375	0.4426102	0.6322605	0.5146181	0.5133318	0.3909633	0.0346911	0.6213274	0.0669855	0.5609050
550	0.1163031	0.4801767	0.7112270	0.7570795	0.3588431	0.3753009	0.0179998	0.6551406	0.0832565	0.6289230
600	0.0895906	0.4713833	0.6619278	0.6521122	0.2455420	0.4772493	0.0153925	0.7101098	0.0985531	0.6755771
650	0.1243870	0.4935271	0.6938331	0.6061605	0.3103899	0.4307759	0.0411156	0.7282962	0.1514742	0.7560274
700	0.0803956	0.4699270	1.0000000	0.5485374	0.2126013	0.3393406	0.0174734	0.7176092	0.0539229	0.6797948
750	0.1028009	0.4742333	0.6588169	0.7793579	0.1990452	0.4251120	0.0320846	0.6274435	0.0634093	0.7076740
800	0.1039518	0.4900357	0.5594473	0.7811211	0.1593143	0.3762296	0.0217152	0.5771925	0.0709204	0.7722100
850	0.1278720	0.3366576	0.5818517	0.7018483	0.1763608	0.3523293	0.0064167	0.6166891	0.0476778	0.6446694
900	0.1432159	0.4219401	0.7083835	0.6314519	0.1590191	0.4601636	0.0182592	0.6024371	0.1005950	0.7478833
950	0.1287397	0.4675117	0.6528558	0.7878004	0.1885524	0.3474704	0.0140584	0.6322204	0.0807083	0.6337221
1000	0.0995211	0.4879464	0.9000636	0.7043083	0.2111342	0.3249563	0.0176573	0.6108596	0.0776104	0.7032597

0	0.1093224	0.3885481	0.7494214	0.6198178	0.1931508	0.2964852	0.0315030	0.6119726	0.0569721	0.7116830
50	0.1249261	0.4836733	0.7983542	0.4339016	0.1240328	0.3484489	0.0134153	0.6101144	0.1465284	0.6261844
100	0.0351581	0.4245338	0.7768260	0.3879805	0.1803191	0.2955849	0.0172022	0.6315690	0.1155616	0.5209113
150	0.0503593	0.4582977	0.7702311	0.3928620	0.1474795	0.3942942	0.0586592	0.7928241	0.0725326	0.6148341
200	0.0516505	0.4461510	0.6103309	0.3834856	0.1245776	0.4200570	0.0068641	0.6236675	0.0816399	0.6684889
250	0.0415708	0.4507698	0.7470011	0.3647727	0.2050918	0.4095207	0.0180030	0.7160548	0.0905708	0.6348492
300	0.0830408	0.5499695	0.6936700	0.4159060	0.2129509	0.2798418	0.0186206	0.6505877	0.1284077	0.8066180
350	0.0663378	0.4079222	0.5912722	0.3129984	0.1398982	0.3797786	0.0255887	0.7417390	0.1157606	0.7008010
400	0.0679766	0.4534437	0.7311614	0.3559382	0.1691316	0.2733030	0.0140065	0.7645708	0.0890396	0.6745071
450	0.0460525	0.4110353	0.7497542	0.4363496	0.1563390	0.3730859	0.0180629	0.6234303	0.1015776	0.6582909
500	0.0386885	0.4240072	0.6972679	0.4799079	0.1551063	0.4788725	0.0225205	0.5154420	0.1075982	0.6821507
550	0.1489153	0.4626117	0.7288440	0.6446006	0.2373934	0.3416000	0.0168012	0.7143966	0.0862804	0.7529990
600	0.1018954	0.4145707	0.7706477	0.7767988	0.1906584	0.4630283	0.0064314	0.6157782	0.0643761	0.7293656
650	0.1053834	0.4830631	0.6969055	0.7572390	0.1973317	0.4291880	0.0312703	0.5879454	0.0706021	0.7083524
700	0.1037693	0.4413852	0.5413656	0.6215910	0.2200053	0.4335018	0.0192946	0.5107018	0.0779669	0.7385725
750	0.0795920	0.3610516	0.6572232	0.7502304	0.2005638	0.4586587	0.0420534	0.5355058	0.1049490	0.6585949
800	0.1005901	0.4563905	0.6536068	0.6752826	0.2442398	0.2560195	0.0222562	0.7206070	0.0780725	0.8390844
850	0.1096352	0.4895806	0.6658526	0.7185223	0.1242500	0.4122820	0.0142531	0.6653684	0.0750848	0.7276230
900	0.1050743	0.3944430	0.6874479	0.5289428	0.2078436	0.5711954	0.0237641	0.6520524	0.1027769	0.6477795
950	0.1305660	0.4018538	0.7620167	0.6330815	0.1430511	0.4755996	0.0199712	0.7140795	0.0860988	0.5835384
1000	0.0753901	0.5596855	0.6351154	0.6436401	0.1207112	0.4829762	0.0058356	0.6345718	0.0715588	0.8810769

0	0.1298726	0.4001387	0.7759620	0.7017884	0.1439886	0.3467353	0.0296328	0.5601030	0.0544206	0.7907044
50	0.0670696	0.4742242	0.1851909	0.7282705	0.1273176	0.2110559	0.0436714	0.5770433	0.0393900	0.7228165
100	0.0870111	0.4401179	0.0798905	0.7790601	0.0704641	0.1771314	0.0231763	0.6856357	0.0367645	0.7500153
150	0.0962765	0.4849200	0.1608249	0.6980039	0.0804371	0.1455950	0.0225702	0.5852255	0.0438395	0.5519529
200	0.1153150	0.5052696	0.1024536	0.6174473	0.0262133	0.1117456	0.0226481	0.6671150	0.0480135	0.7222573
250	0.0980178	0.4812158	0.0663494	0.6873806	0.0390452	0.1134262	0.0278672	0.6507679	0.0238271	0.7167833
300	0.1094259	0.4288106	0.1183923	0.5896053	0.0274500	0.0582958	0.0243522	0.7723270	0.0683588	0.7423876
350	0.1501305	0.3758927	0.0742224	0.6454966	0.0188452	0.0920763	0.0301876	0.6104899	0.0329814	0.7374741
400	0.1131927	0.3745027	0.0854090	0.6714374	0.0184232	0.1002565	0.0372225	0.7181106	0.0239630	0.7431757
450	0.1510423	0.4040510	0.1544593	0.6411710	0.0786193	0.1253597	0.0287694	0.5384818	0.0258968	0.6316983
500	0.1149336	0.3860134	0.1125143	0.7214695	0.0218663	0.1491337	0.0177882	0.5791285	0.0248076	0.6997514
550	0.1321369	0.3781285	0.5370508	0.7869525	0.0421954	0.1687202	0.0237198	0.5915040	0.0376657	0.6462529
600	0.0915302	0.4055235	0.6401570	0.6888946	0.0638023	0.2060760	0.0467398	0.7387556	0.0387997	0.7500932
650	0.0996548	0.5017835	0.7436666	0.6657264	0.1086864	0.3591932	0.0049858	0.7336534	0.0312237	0.7472827
700	0.0808940	0.4329472	0.7495915	0.6745416	0.1834823	0.4443590	0.0293277	0.6441595	0.0412711	0.7507819
750	0.0617623	0.4213717	0.7468646	0.5647843	0.1280080	0.4258995	0.0340913	0.6150076	0.0398152	0.5801437
800	0.0890205	0.4753345	0.8005384	0.6910711	0.1653639	0.4157956	0.0282439	0.6912913	0.0562433	0.7251937
850	0.1023499	0.4677701	0.6993533	0.5914241	0.1505363	0.2898715	0.0283116	0.7573789	0.0671637	0.6704881
900	0.1157826	0.5698978	0.6726389	0.6974472	0.1378671	0.3021295	0.0192338	0.6260887	0.0361735	0.8197747
950	0.0974546	0.4326930	0.6523570	0.6914453	0.1206310	0.3096644	0.0197295	0.5224712	0.0814136	0.7528020
1000	0.1074170	0.4860339	0.6657832	0.7127377	0.1675339	0.4386613	0.0253518	0.7184073	0.0576686	0.7158644

0	0.1215709	0.4129994	0.6201884	0.6667325	0.1983820	0.3422940	0.0274208	0.6382083	0.0828466	0.7090605
50	0.0874249	0.4273695	0.7102836	0.6901086	0.1275485	0.3688474	0.0088676	0.4533224	0.0559398	0.6609725
100	0.0705612	0.3570003	0.6854363	0.6394230	0.1785207	0.3209535	0.0492027	0.2537404	0.0755955	0.7728677
150	0.0769167	0.2616204	0.7051769	0.6984719	0.1366230	0.2461328	0.0915333	0.2328640	0.0402966	0.7362619
