YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.0000000	0.6111940	0.6553119	0.0479538	0.6914779	0.0134474	0.7503977	0.0268638	0.0073659	0.7700214
0.0329774	0.0000000	0.1847964	0.3631664	0.5530063	0.1133806	0.0850114	0.7935359	0.7712006	0.8073340
0.1057238	0.0792009	0.0000000	0.3356781	0.4261427	0.1055686	0.1219244	0.7260758	0.4664518	0.8218147
0.5226829	0.6679298	0.9081580	0.0000000	0.8110306	0.0204612	0.8320480	0.0002216	0.0228918	0.7951253
0.4282983	0.5290862	0.6763177	0.0619144	0.0000000	0.0224832	0.7607299	0.0030657	0.0328098	0.8670899
0.5429127	0.6648392	0.8363529	0.1362004	0.7368718	0.0000000	0.7072526	0.0006958	0.0106382	0.8611134
0.2477951	0.2166626	0.2387019	0.2036079	0.0318156	0.8325273	0.0000000	0.0670569	0.0713677	0.7682321
0.4827947	0.6315551	0.7448254	0.1313404	0.6404965	0.0442997	0.8693683	0.0000000	0.0193931	0.8525521
0.5399284	0.6162792	0.6436458	0.0987197	0.6946172	0.0141299	0.7694134	0.0012380	0.0000000	0.7552236
0.1926839	0.1971699	0.2848557	0.2212163	0.5586428	0.1017640	0.0708176	0.7316430	0.6007415	0.0000000
