YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.1078282	0.6928021	0.3719294	0.2720724	0.5539261	0.7554234	0.1224368	0.2914372	0.8242420	0.7157741
0.3947478	0.4119217	0.4545487	0.3032223	0.4054771	0.7518718	0.3306764	0.2714891	0.6734528	0.7639245
0.1468736	0.6727924	0.3141885	0.3358220	0.4726451	0.7520398	0.2029349	0.4290608	0.8214928	0.7828215
0.2204543	0.7573863	0.2815146	0.1479575	0.5091200	0.6268183	0.1502637	0.3138110	0.7754420	0.7305405
0.1198801	0.6424014	0.6987579	0.5971282	0.2463850	0.7535110	0.1496343	0.3972378	0.7637590	0.7242604
0.2062583	0.7893043	0.7244912	0.6339566	0.0855100	0.3863753	0.1623031	0.3792417	0.6792501	0.6742233
0.1709432	0.7809735	0.4864522	0.3635539	0.4363895	0.8527615	0.0836094	0.3329398	0.7012820	0.7017042
0.1308142	0.7294484	0.4867549	0.3210864	0.5988173	0.7412248	0.3705965	0.2656482	0.7193838	0.8067057
0.2243660	0.7677647	0.4675853	0.3194620	0.5609089	0.7253579	0.0947658	0.4417128	0.3920109	0.7415801
0.1912491	0.7530276	0.4847827	0.3845162	0.5046673	0.8097099	0.1658060	0.4147047	0.7336809	0.3478090
