YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0591977	0.6234016	0.4818435	0.3618650	0.4908595	0.1454589	0.3342384	0.5314948	0.4984840	0.0635954
0.1677665	0.4042655	0.3916339	0.3008751	0.5529205	0.2059396	0.4217377	0.1668945	0.2793828	0.2190600
0.0962666	0.8457491	0.3238562	0.5082783	0.6310943	0.1447623	0.3329201	0.7396124	0.6732291	0.0624682
0.0959080	0.8490881	0.3208481	0.2565811	0.6365736	0.1101358	0.2332220	0.7435940	0.6765630	0.0250779
0.1044328	0.7430125	0.4193025	0.3188140	0.2694473	0.1224388	0.2797806	0.6700546	0.6025310	0.0349153
0.1120709	0.6717584	0.5066746	0.3802806	0.4784830	0.0705464	0.3254706	0.5957947	0.5428575	0.0102749
0.1120447	0.6719661	0.5065033	0.3802165	0.4781967	0.1007057	0.1627015	0.5959838	0.5430476	0.0195625
0.1117740	0.6741190	0.5036483	0.3782297	0.4713706	0.2050420	0.4206120	0.2992772	0.5450437	0.2160800
0.1028973	0.7611944	0.4002871	0.3064433	0.5471641	0.1949070	0.4085907	0.2098396	0.3076377	0.1819739
0.1120001	0.6721237	0.5062539	0.3799401	0.4767590	0.1409327	0.3251163	0.5966528	0.5433865	0.0284031
