YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.4548593	0.7847497	0.4481225	0.1847103	0.1259456	0.0858261	0.9145956	0.8832628	0.3859177	1.0231146
0.5063007	0.4115369	0.4140645	0.1875208	0.1272316	0.0913025	0.8598397	0.2094980	0.6936623	1.0528695
0.9531528	0.7323577	0.1932564	0.1359082	0.1268162	0.1010866	0.8797140	0.9004785	0.4130496	1.0255881
0.9657574	0.7075269	0.2595836	0.0679457	0.0990789	0.0938618	0.9407626	0.9037533	0.3951293	0.9939676
0.9950733	0.8045610	0.2357129	0.0678591	0.0503317	0.0767218	0.9878484	0.6675099	0.4872978	0.9778944
0.7937462	0.5590008	0.1924264	0.0497516	0.0231061	0.0287834	0.9221896	0.7122976	0.5429912	1.0086288
1.0557056	1.0398600	0.8468307	0.9238353	0.7281485	0.3244225	0.2718858	0.8805249	0.4205677	0.9879075
0.9887819	0.8993592	0.5668626	0.2495280	0.1953550	0.1070271	0.7775972	0.4784829	0.3652086	0.9994302
0.9960423	0.9026682	0.4229612	0.2234177	0.1950292	0.0969215	0.9181263	0.9955200	0.2102128	1.0214006
0.9757618	0.8163973	0.3760932	0.1560759	0.1160324	0.0844567	0.7572534	0.2183812	0.7640191	0.5505247
