"Time"	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W

0	0.2055433	0.6403412	0.5452733	0.9836210	0.0672173	0.0285226	0.0494671	0.9834546	0.9859355	0.9999078
50	0.2195405	0.4992265	0.5858868	0.9107431	0.0540716	0.0385489	0.0651475	1.0025428	0.6351860	0.9084003
100	0.2154039	0.5636352	0.4964759	0.8892280	0.0483545	0.0227314	0.0626304	1.0261327	0.3889543	0.9799135
150	0.2006500	0.6025806	0.4702489	0.8059949	0.0497908	0.0122993	0.0347946	1.0623257	0.2617580	0.9649838
200	0.2728112	0.6427402	0.3950333	0.7573189	0.0565974	0.0097142	0.0301525	0.9953690	0.2893719	1.0310465
250	0.2858838	0.7185177	0.4442935	0.7074880	0.0592692	0.0193125	0.0352851	1.0093150	0.2882822	1.0445380
300	0.3091933	0.7623609	0.3395542	0.6156205	0.0341037	0.0163470	0.0596596	0.9863097	0.2625685	1.0032692
350	0.3695095	0.7278885	0.3228580	0.6894128	0.0477051	0.0133868	0.0489741	1.0006442	0.2792599	1.0129539
400	0.3542690	0.7625408	0.3150053	0.6258259	0.0595809	0.0084436	0.0445272	1.0319953	0.2738906	1.0051370
450	0.3929529	0.8958577	0.2806401	0.6299509	0.0644877	0.0141373	0.0513138	0.9310977	0.2661160	0.9781846
500	0.3723649	0.8768106	0.2912722	0.6443491	0.0603709	0.0094987	0.0524291	0.9521415	0.2010521	0.9240141
550	0.4400063	0.8626873	0.2497121	0.6831881	0.0524574	0.0229600	0.0491146	0.9467840	0.4597088	0.8899643
600	0.4802620	0.8931262	0.3612344	0.7340966	0.0266176	0.0077574	0.0485220	0.9069773	0.7986498	0.9017961
650	0.4846212	0.8320799	0.4040132	0.7984990	0.0657076	0.0188407	0.0514988	0.9621757	0.9443971	0.9605332
700	0.4627009	0.8912285	0.4700079	0.7953433	0.0506173	0.0109125	0.0542886	0.9284624	0.8333398	1.0253683
750	0.4119043	0.7958095	0.5678791	0.7803365	0.0353869	0.0249047	0.0647518	0.9737778	0.9018432	0.9710615
800	0.3322568	0.6888514	0.5265128	0.8752308	0.0426563	0.0362332	0.0596810	0.9612525	0.8870743	1.0393040
850	0.3170753	0.6628212	0.5793618	0.7910347	0.0378154	0.0221199	0.0385379	0.9550536	0.9377986	0.9988465
900	0.2951369	0.6489617	0.5215944	0.8777907	0.0384127	0.0180807	0.0282026	0.9389608	0.9952748	0.9158876
950	0.3496152	0.6242139	0.4906533	0.9093270	0.0373906	0.0063453	0.0466410	0.9483062	1.1035446	0.9350167
1000	0.3405616	0.6980825	0.5478077	1.0713675	0.0421583	0.0151178	0.0481106	1.0108729	1.0696352	0.9339298

0	0.2055433	0.6403412	0.5452733	0.9836210	0.0672173	0.0285226	0.0494671	0.9834546	0.9859355	0.9999078
