"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C

0	0.7127062	0.8184834	0.2730641	0.1494495	0.1475899	0.3264456	0.3644897	0.5090684	0.8625694	1.0000000
50	0.6425531	0.8115801	0.2720340	0.1487970	0.1472860	0.3264716	0.3655563	0.5108413	0.8625694	1.0000000
100	0.5886435	0.8057122	0.2709421	0.1483262	0.1471808	0.3266212	0.3646248	0.5273721	0.8625694	1.0000000
150	0.5707663	0.8041050	0.2699849	0.1480710	0.1472443	0.3268398	0.3595747	0.5473967	0.8625694	1.0000000
200	0.5660545	0.8046040	0.2692880	0.1480216	0.1474258	0.3270743	0.3522734	0.5615452	0.8625694	1.0000000
250	0.5644521	0.8056578	0.2689033	0.1481370	0.1476670	0.3272819	0.3455346	0.5694315	0.8625694	1.0000000
300	0.5633720	0.8065353	0.2688191	0.1483590	0.1479134	0.3274348	0.3406259	0.5734129	0.8625694	1.0000000
350	0.5625141	0.8069743	0.2689774	0.1486256	0.1481231	0.3275209	0.3375061	0.5754163	0.8625694	1.0000000
400	0.5619919	0.8069515	0.2692945	0.1488820	0.1482701	0.3275420	0.3356676	0.5764772	0.8625694	1.0000000
450	0.5618683	0.8065616	0.2696802	0.1490882	0.1483450	0.3275100	0.3346223	0.5770517	0.8625694	1.0000000
500	0.5621022	0.8059495	0.2700544	0.1492219	0.1483527	0.3274430	0.3340400	0.5773263	0.8625694	1.0000000
550	0.6355478	0.8128239	0.2703577	0.1492780	0.1483078	0.3273604	0.3338079	0.5739331	0.8625694	1.0000000
600	0.6900109	0.8195753	0.2705565	0.1492657	0.1482305	0.3272796	0.3352827	0.5566635	0.8625694	1.0000000
650	0.7063320	0.8226052	0.2706425	0.1492035	0.1481413	0.3272136	0.3403864	0.5358197	0.8625694	1.0000000
700	0.7089752	0.8236987	0.2706284	0.1491135	0.1480578	0.3271698	0.3478423	0.5212335	0.8625694	1.0000000
750	0.7086319	0.8241036	0.2705404	0.1490174	0.1479925	0.3271502	0.3549655	0.5135013	0.8625694	1.0000000
800	0.7080617	0.8243452	0.2704108	0.1489326	0.1479519	0.3271523	0.3602288	0.5100479	0.8625694	1.0000000
850	0.7076338	0.8245855	0.2702710	0.1488705	0.1479369	0.3271706	0.3635073	0.5086953	0.8625694	1.0000000
900	0.7072787	0.8248422	0.2701468	0.1488359	0.1479439	0.3271982	0.3653145	0.5082488	0.8625694	1.0000000
950	0.7069417	0.8250882	0.2700549	0.1488280	0.1479664	0.3272282	0.3662161	0.5081702	0.8625694	1.0000000
1000	0.7066238	0.8252915	0.2700030	0.1488418	0.1479970	0.3272552	0.3666192	0.5082378	0.8625694	1.0000000

0	0.7127062	0.8184834	0.2730641	0.1494495	0.1475899	0.3264456	0.3644897	0.5090684	0.8625694	1.0000000
50	0.5625453	0.7990415	0.3570096	0.1487939	0.1471922	0.3247433	0.3654438	0.5149178	0.8625694	1.0000000
