YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.7170805	0.6727559	0.3406642	0.0477515	0.7312238	0.2652929	0.6142244	0.4815180	0.5321965	0.0612897
0.6000356	0.7594785	0.3433021	0.0387236	0.7283430	0.4943272	0.0704272	0.3476143	0.4016829	0.0532273
0.7786739	0.8627296	0.1857745	0.0246389	0.8527430	0.6171638	0.4985856	0.6444640	0.4756814	0.0693977
0.7618757	0.7501619	0.3078154	0.1352671	0.5860594	0.2875947	0.7267418	0.5206637	0.4836618	0.0766807
0.8346524	0.6401788	0.2977697	0.0512509	0.5794083	0.2272530	0.7160577	0.5484125	0.2282612	0.0068206
0.7179245	0.7555533	0.1784834	0.0572140	0.6565612	0.3493112	0.6243226	0.4717609	0.6364032	0.0025712
0.6525526	0.7122689	0.2893779	0.0659588	0.8220420	0.6883303	0.2674235	0.3646614	0.6123977	0.0008596
0.6403703	0.7774859	0.2757118	0.0564728	0.6570820	0.2034076	0.4734900	0.5192875	0.4419741	0.0016716
0.8395873	0.6431221	0.3204721	0.0599485	0.6809326	0.5407582	0.4164081	0.4316869	0.4912898	0.0060786
0.7286603	0.7238399	0.3848017	0.0684612	0.7718843	0.7926395	0.2926100	0.4364289	0.4268774	0.0904488
