YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.4091386	0.4475529	0.1003505	0.3520511	0.7175667	0.0059797	0.0100851	0.4552174	0.7811825	0.7600194
0.3365197	0.1276505	0.1654328	0.3956521	0.7441239	0.1786552	0.0032750	0.3403594	0.8821249	0.8133543
0.1723956	0.0343062	0.0129051	0.1691797	0.7590558	0.1149545	0.0484911	0.3341111	0.6432375	0.6320298
0.3244601	0.4576422	0.1949737	0.3771899	0.6429532	0.0053655	0.0012015	0.4929813	0.6942720	0.4235539
0.4364987	0.6642538	0.4022453	0.7123084	0.3238327	0.3423192	0.0304076	0.5428454	0.8004893	0.1261106
0.4097532	0.3932603	0.1126957	0.5076989	0.6129634	0.2741909	0.0017444	0.5418246	0.7997280	0.3103199
0.1899324	0.0522305	0.0205008	0.2408027	0.8822327	0.0257509	0.0583441	0.4746008	0.6408164	0.4892607
0.3119928	0.3382493	0.1534704	0.3879056	0.7620890	0.0229080	0.0503683	0.4137983	0.6992794	0.9229974
0.4366713	0.6170259	0.4962405	0.5986594	0.5570964	0.3339668	0.0007612	0.5167338	0.5701770	0.1792995
0.4701685	0.5976254	0.4632120	0.4922181	0.7157086	0.1677474	0.0014123	0.5959555	0.8371495	0.1536896
