YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1684706	0.3903982	0.0457492	0.8815810	0.0197055	0.3186965	0.9366813	0.8626699	0.8339022	0.1938838
0.2380062	0.4905841	0.0457890	0.6517607	0.0117651	0.2805337	0.9350030	0.8986843	0.9410071	0.0879178
0.4674939	0.8526889	0.0019790	0.8961298	0.0671527	0.3002681	0.9803930	0.3751222	0.4096186	0.4379191
0.7360108	0.9913863	0.0024135	0.8892782	0.0928532	0.3091935	0.8810960	0.2178521	0.1505787	0.9859774
0.5903935	0.6304081	0.0446826	0.9646110	0.0023352	0.1888290	0.9886918	0.8805021	0.8808317	0.1473447
0.3359162	0.3061676	0.0022050	0.8506094	0.0108278	0.2748447	0.9762082	0.9243064	0.9658329	0.0523872
0.4544159	0.8285806	0.0037732	0.8657866	0.0177725	0.3107176	0.9567168	0.2054503	0.2784886	0.7534530
0.4123079	0.5505558	0.0461843	0.9298410	0.1115250	0.2524804	0.9191008	0.4197867	0.4321723	0.5657808
0.4558153	0.6552394	0.0446958	0.8983793	0.0148836	0.2972828	0.9879465	0.8635754	0.8360540	0.1911592
0.4280452	0.6211633	0.0457573	0.7784087	0.1194927	0.3225989	0.9363393	0.8860800	0.8976462	0.1438247
