"Time"	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W

0	0.0842701	0.9998870	0.9999986	0.0289933	0.2851493	0.8997976	0.5176587	1.0000000	1.0000000	1.0000000
50	0.0680173	0.9999049	0.9317880	0.0222965	0.2842730	0.9027632	0.4519147	1.0000000	1.0000000	1.0000000
100	0.0585637	0.9999153	0.8529096	0.0151659	0.2801392	0.9186944	0.3687697	1.0000000	1.0000000	1.0000000
150	0.0555252	0.9999079	0.8071656	0.0110679	0.2743009	0.9398722	0.3155160	1.0000000	1.0000000	1.0000000
200	0.0546035	0.9998933	0.7850212	0.0089526	0.2687121	0.9565980	0.2870568	1.0000000	1.0000000	1.0000000
250	0.0543270	0.9998798	0.7751439	0.0078897	0.2643708	0.9669477	0.2730622	1.0000000	1.0000000	1.0000000
300	0.0542449	0.9998705	0.7709324	0.0073587	0.2614430	0.9725803	0.2664933	1.0000000	1.0000000	1.0000000
350	0.0542209	0.9998649	0.7691852	0.0070933	0.2596571	0.9754319	0.2634974	1.0000000	1.0000000	1.0000000
400	0.0542141	0.9998619	0.7684730	0.0069605	0.2586444	0.9768145	0.2621568	1.0000000	1.0000000	1.0000000
450	0.0542123	0.9998604	0.7681861	0.0068940	0.2581003	0.9774668	0.2615647	1.0000000	1.0000000	1.0000000
500	0.0542118	0.9998597	0.7680715	0.0068606	0.2578197	0.9777687	0.2613055	1.0000000	1.0000000	1.0000000
550	0.0704651	0.9998186	0.8362368	0.0132983	0.2585119	0.9762293	0.3269363	1.0000000	1.0000000	1.0000000
600	0.0799203	0.9998060	0.9150975	0.0201826	0.2621997	0.9653531	0.4100323	1.0000000	1.0000000	1.0000000
650	0.0829591	0.9998265	0.9608346	0.0241818	0.2670938	0.9471228	0.4632648	1.0000000	1.0000000	1.0000000
700	0.0838799	0.9998505	0.9829763	0.0263045	0.2718255	0.9294827	0.4917149	1.0000000	1.0000000	1.0000000
750	0.0841554	0.9998674	0.9928523	0.0274333	0.2759367	0.9166312	0.5057056	1.0000000	1.0000000	1.0000000
800	0.0842370	0.9998773	0.9970633	0.0280556	0.2791964	0.9086987	0.5122729	1.0000000	1.0000000	1.0000000
850	0.0842608	0.9998824	0.9988102	0.0284154	0.2815408	0.9042834	0.5152680	1.0000000	1.0000000	1.0000000
900	0.0842676	0.9998849	0.9995222	0.0286324	0.2830800	0.9019850	0.5166083	1.0000000	1.0000000	1.0000000
950	0.0842694	0.9998861	0.9998090	0.0287662	0.2840152	0.9008408	0.5172003	1.0000000	1.0000000	1.0000000
1000	0.0842699	0.9998866	0.9999236	0.0288490	0.2845488	0.9002882	0.5174595	1.0000000	1.0000000	1.0000000

0	0.0842701	0.9998870	0.9999986	0.0289933	0.2851493	0.8997976	0.5176587	1.0000000	1.0000000	1.0000000
50	0.0842699	0.9998916	0.9999661	0.1479539	0.2967177	0.5742866	0.5176582	1.0000000	0.9633836	1.0000000
100	0.0842695	0.9998963	0.9981800	0.2762562	0.3835118	0.2868841	0.5176579	1.0000000	0.9284225	1.0000000
150	0.0842690	0.9998982	0.9884576	0.3541372	0.4870272	0.1642801	0.5176578	1.0000000	0.9119608	1.0000000
200	0.0842688	0.9998967	0.9690822	0.4009573	0.5473884	0.1197067	0.5176578	1.0000000	0.9054510	1.0000000
250	0.0842689	0.9998918	0.9450841	0.4303747	0.5746198	0.1037029	0.5176578	1.0000000	0.9030614	1.0000000
