YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1685969	0.3905036	0.0457492	0.8815822	0.0197054	0.3186971	0.9366788	0.8625827	0.8336946	0.1939978
0.2381808	0.4906493	0.0457891	0.6517654	0.0117645	0.2805330	0.9350016	0.8986496	0.9409319	0.0879454
0.4674338	0.8526386	0.0019788	0.8961527	0.0671499	0.3002553	0.9804226	0.3753278	0.4097056	0.4378317
0.7360080	0.9913923	0.0024128	0.8894538	0.0928334	0.3091565	0.8811011	0.2178379	0.1505461	0.9859892
0.5905158	0.6305354	0.0446827	0.9646099	0.0023352	0.1888299	0.9886891	0.8804206	0.8806310	0.1474390
0.3360612	0.3062097	0.0022050	0.8506056	0.0108282	0.2748465	0.9762061	0.9242817	0.9657933	0.0523988
0.4544044	0.8285794	0.0037724	0.8658494	0.0177648	0.3106967	0.9567359	0.2054559	0.2784835	0.7534520
0.4122477	0.5505011	0.0461834	0.9298591	0.1115235	0.2524665	0.9191422	0.4200418	0.4322988	0.5656233
0.4559322	0.6553529	0.0446959	0.8983781	0.0148838	0.2972837	0.9879440	0.8634908	0.8358521	0.1912691
0.4281957	0.6212626	0.0457574	0.7784085	0.1194928	0.3225997	0.9363370	0.8860197	0.8975005	0.1438959
