"Time"	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W

0	0.1296806	0.0049189	0.8149727	0.4174404	0.7385921	1.0053071	0.0910578	0.4248018	0.5565574	0.3996610
50	0.1591098	0.0082659	0.9271273	0.3161793	0.6992897	1.0478736	0.0316027	0.4272640	0.6310086	0.4395838
100	0.1215386	0.0020387	1.0227176	0.2830148	0.7295476	0.9980288	0.0121079	0.4005562	0.6621449	0.3584248
150	0.0773402	0.0055222	0.9585977	0.2442901	0.7087072	1.0490262	0.0066523	0.4090781	0.6724680	0.3244326
200	0.1570809	0.0017498	0.9939385	0.2180413	0.7545667	1.0201894	0.0015801	0.4058200	0.5658070	0.3767345
250	0.1257932	0.0047729	1.0907437	0.2887950	0.7302395	0.9874385	0.0011099	0.4163559	0.5475550	0.3387411
300	0.1221817	0.0074327	1.0102162	0.2167061	0.8001702	0.9336529	0.0021723	0.3817525	0.5485577	0.3540045
350	0.1687523	0.0019158	0.9577561	0.2674784	0.8069225	1.0385745	0.0007607	0.3915261	0.5643097	0.3972906
400	0.1319283	0.0070822	1.0134525	0.2648834	0.7941850	1.0125012	0.0031999	0.4201433	0.6760425	0.4077089
450	0.1081938	0.0020620	0.9974052	0.2181697	0.7698868	1.0159118	0.0002875	0.4517797	0.6715037	0.4135118
500	0.1147306	0.0036645	1.0881523	0.2621396	0.7958644	1.0103936	0.0021081	0.4048209	0.6911966	0.3850935
550	0.1196319	0.0031279	0.9805780	0.3839099	0.7783279	0.9725738	0.0542024	0.3664424	0.6811944	0.3187600
600	0.1199000	0.0011570	0.8677496	0.4791515	0.7615537	1.0169451	0.1145035	0.4107935	0.5861630	0.3091343
650	0.1183296	0.0033058	0.8482813	0.4439946	0.7845960	0.9458458	0.0964087	0.3789590	0.5881798	0.4066001
700	0.1204108	0.0059813	0.7931523	0.4453134	0.7749042	1.1014497	0.1025794	0.4012490	0.5871342	0.4078447
750	0.1279344	0.0023460	0.8785672	0.3649973	0.8035521	0.9669807	0.0918554	0.3380179	0.5736901	0.4569910
800	0.0958821	0.0051374	0.9584282	0.4229848	0.7567140	1.0339491	0.0834916	0.3952887	0.6309869	0.4069843
850	0.1124192	0.0029637	0.8538668	0.4406964	0.7770947	1.0402142	0.0845049	0.3659210	0.6107453	0.4166487
900	0.1075847	0.0039250	0.9135566	0.4858503	0.8441161	1.0156851	0.0903612	0.4082675	0.5701947	0.4717594
950	0.1369122	0.0021448	0.8628364	0.4367016	0.8501285	0.9258580	0.1051038	0.4992838	0.6490280	0.4515017
1000	0.1624337	0.0011818	0.9156364	0.4453338	0.8113422	0.8960464	0.1095133	0.4187532	0.7487571	0.3891787

