YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0633532	0.0628363	0.3681735	0.5357210	0.6885696	0.0103091	0.7712454	0.7456300	0.5890032	0.5760102
0.0842094	0.0354226	0.3729377	0.6024333	0.7332230	0.0076233	0.6849038	0.7468365	0.5566371	0.5040780
0.1308345	0.0356678	0.1587457	0.5725764	0.8706094	0.0178432	0.7667458	0.6076550	0.4514790	0.4592449
0.1317131	0.0501012	0.5162503	0.2930023	0.8252225	0.0040106	0.7027845	0.6880606	0.5880709	0.3884171
0.0437280	0.0179742	0.3743331	0.7338396	0.3032768	0.0390977	0.7104015	0.8421262	0.4638045	0.4776806
0.1391662	0.0693503	0.2793689	0.5613155	0.8717697	0.0079125	0.6933362	0.7555519	0.6837690	0.4552939
0.1784368	0.0243161	0.3309915	0.5235203	0.7495773	0.0314838	0.3415940	0.7355338	0.5928789	0.3727242
0.0764840	0.0415020	0.2253344	0.6242007	0.5817216	0.3220281	0.3345921	0.3438789	0.6195444	0.5980665
0.1681503	0.0652511	0.2722735	0.6201986	0.5236115	0.3423910	0.2923899	0.4601936	0.3333018	0.5872467
0.0884746	0.0268224	0.3344468	0.5388755	0.6310803	0.0135472	0.6599779	0.6293761	0.5465228	0.2440965
