YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.0000007	0.4753047	0.9782758	0.8402346	0.7366147	0.1402305	0.9999986	0.6027725	0.6394323	1.0000000
1.0000000	0.0000000	0.9244861	0.6323167	0.4200908	0.5606944	0.4170266	0.5695022	0.6394323	1.0000000
0.4520280	1.0000000	0.0000052	0.8401147	0.7364609	0.1402417	0.9996867	0.1401165	0.6394323	1.0000000
0.4520309	0.9999999	0.0296517	0.0000000	0.7365504	0.1403051	0.9996860	0.1401174	0.6394323	1.0000000
0.4520291	0.9999999	0.0296414	0.0188658	0.0000000	0.1402667	0.9996865	0.1401168	0.6394323	1.0000000
0.6302124	0.6531984	0.8239621	0.5555175	0.4075741	0.0000000	0.6449352	0.5002711	0.6394323	1.0000000
0.6685879	0.5431622	0.9200866	0.6247228	0.4135714	0.9999997	0.0000000	0.5661019	0.6394323	1.0000000
0.7112260	0.4753136	0.9782769	0.8402322	0.7366028	0.1402112	0.9999996	0.0000013	0.6394323	1.0000000
0.6591441	0.5589738	0.9073643	0.6043056	0.3962518	0.8930463	0.1892291	0.8036060	0.0000000	1.0000000
0.6672559	0.5457715	0.9178642	0.6206650	0.4100119	0.9813299	0.0870731	0.9949654	0.0421683	0.0000000
