"Time"	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C

0	0.0658048	0.2750005	0.8498665	0.5386475	0.9977849	0.5483340	0.8904792	0.9894149	0.0973203	1.0000000
50	0.0669865	0.3031654	0.8498657	0.5386462	0.9977698	0.5276503	0.7006296	0.9894149	0.0973203	1.0000000
100	0.0745277	0.3388207	0.8498668	0.5386307	0.9973992	0.4059646	0.4820394	0.9894149	0.0973203	1.0000000
150	0.0871724	0.3616135	0.8498858	0.5384511	0.9947208	0.2513524	0.3610874	0.9894149	0.0973203	1.0000000
200	0.0996334	0.3738041	0.8500476	0.5372860	0.9804394	0.1425983	0.3056530	0.9894149	0.0973203	1.0000000
250	0.1089202	0.3802457	0.8510076	0.5312229	0.9188563	0.0830685	0.2819945	0.9894149	0.0973203	1.0000000
300	0.1150752	0.3857271	0.8555491	0.5067970	0.7589140	0.0541983	0.2722940	0.9894149	0.0973203	1.0000000
350	0.1202992	0.3977030	0.8707894	0.4427414	0.5405269	0.0410881	0.2684236	0.9894149	0.0973203	1.0000000
400	0.1296304	0.4282869	0.9022202	0.3398100	0.3576034	0.0353620	0.2669099	0.9894149	0.0973203	1.0000000
450	0.1525529	0.4846178	0.9405325	0.2319245	0.2425982	0.0329220	0.2663269	0.9894149	0.0973203	1.0000000
500	0.1988746	0.5529151	0.9702422	0.1489473	0.1809295	0.0318994	0.2661049	0.9894149	0.0973203	1.0000000
550	0.2581721	0.5828197	0.9869762	0.0967186	0.1520318	0.0347474	0.4795916	0.9894149	0.0973203	1.0000000
600	0.2850376	0.5860158	0.9947223	0.0688045	0.2109163	0.0849857	0.7297801	0.9894149	0.0973203	1.0000000
650	0.2790743	0.5855675	0.9979120	0.0766350	0.5084084	0.2220685	0.8759673	0.9894149	0.0973203	1.0000000
700	0.2642374	0.5837834	0.9987773	0.1602149	0.7746541	0.3812179	0.9459381	0.9894149	0.0973203	1.0000000
750	0.2514254	0.5713020	0.9953597	0.2851359	0.9095193	0.5033652	0.9681401	0.9894149	0.0973203	1.0000000
800	0.2380095	0.5312574	0.9802782	0.3920621	0.9654626	0.5739291	0.9496211	0.9894149	0.0973203	1.0000000
850	0.2154658	0.4688117	0.9518972	0.4620912	0.9866607	0.5959586	0.9060449	0.9894149	0.0973203	1.0000000
900	0.1811936	0.4056535	0.9193867	0.5015075	0.9942672	0.5813628	0.8692859	0.9894149	0.0973203	1.0000000
950	0.1437261	0.3557476	0.8920837	0.5216360	0.9968055	0.5525880	0.8595498	0.9894149	0.0973203	1.0000000
1000	0.1130335	0.3217530	0.8732977	0.5312152	0.9974956	0.5322594	0.8716643	0.9894149	0.0973203	1.0000000

0	0.0658048	0.2750005	0.8498665	0.5386475	0.9977849	0.5483340	0.8904792	0.9894149	0.0973203	1.0000000
50	0.0509382	0.2750136	0.8498657	0.5386463	0.9977818	0.5485528	0.8915541	0.9404318	0.0758976	1.0000000
100	0.0385666	0.2750958	0.8498660	0.5386449	0.9977827	0.5496236	0.8953550	0.9035191	0.0557943	1.0000000
150	0.0335878	0.2752158	0.8498666	0.5386447	0.9977921	0.5523850	0.8995174	0.8909100	0.0459661	1.0000000
200	0.0319199	0.2753179	0.8498667	0.5386475	0.9978147	0.5560545	0.9014553	0.8874987	0.0417197	1.0000000
250	0.0314127	0.2753835	0.8498651	0.5386550	0.9978463	0.5589453	0.9009727	0.8867162	0.0399513	1.0000000
300	0.0312725	0.2754179	0.8498607	0.5386670	0.9978759	0.5600842	0.8993221	0.8865757	0.0392237	1.0000000
350	0.0312395	0.2754316	0.8498533	0.5386806	0.9978942	0.5596786	0.8978714	0.8865667	0.0389256	1.0000000
400	0.0312344	0.2754338	0.8498444	0.5386920	0.9978989	0.5586175	0.8973079	0.8865756	0.0388036	1.0000000
450	0.0312341	0.2754307	0.8498361	0.5386987	0.9978945	0.5577482	0.8975512	0.8865824	0.0387537	1.0000000
500	0.0312334	0.2754264	0.8498300	0.5387009	0.9978876	0.5574515	0.8981244	0.8865859	0.0387333	1.0000000
550	0.0460972	0.2754026	0.8498269	0.5387001	0.9978832	0.5576010	0.8977824	0.9366560	0.0601477	1.0000000
600	0.0584647	0.2752995	0.8498261	0.5386984	0.9978815	0.5571226	0.8938326	0.9757020	0.0802476	1.0000000
650	0.0634390	0.2751716	0.8498265	0.5386969	0.9978756	0.5545688	0.8889758	0.9885789	0.0900744	1.0000000
700	0.0651048	0.2750743	0.8498275	0.5386940	0.9978558	0.5506170	0.8866708	0.9909781	0.0943202	1.0000000
750	0.0656123	0.2750172	0.8498296	0.5386870	0.9978232	0.5473767	0.8874058	0.9906973	0.0960884	1.0000000
800	0.0657540	0.2749904	0.8498340	0.5386751	0.9977903	0.5462121	0.8895885	0.9901366	0.0968159	1.0000000
850	0.0657884	0.2749821	0.8498414	0.5386608	0.9977703	0.5469221	0.8914277	0.9897669	0.0971140	1.0000000
900	0.0657948	0.2749837	0.8498506	0.5386487	0.9977671	0.5483675	0.8920526	0.9895745	0.0972360	1.0000000
950	0.0657961	0.2749891	0.8498593	0.5386420	0.9977750	0.5494648	0.8916137	0.9894844	0.0972858	1.0000000
1000	0.0657978	0.2749947	0.8498654	0.5386407	0.9977850	0.5497585	0.8907859	0.9894444	0.0973062	1.0000000

0	0.0658048	0.2750005	0.8498665	0.5386475	0.9977849	0.5483340	0.8904792	0.9894149	0.0973203	1.0000000
50	0.0658448	0.2750258	0.8498657	0.5386462	0.9977681	0.5247996	0.6752862	0.9016876	0.0973203	1.0000000
100	0.0660398	0.2751964	0.8498669	0.5386285	0.9973335	0.3904896	0.4260953	0.8310538	0.0973203	1.0000000
