YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0729291	0.7077251	0.7828901	0.2790615	0.0513418	0.5863263	0.3393187	0.5716869	0.6242728	0.7541881
0.0318106	0.7326625	0.8955964	0.2420254	0.0464463	0.6398532	0.4121822	0.7555995	0.4158688	0.7882010
0.0779201	0.7677523	0.5899687	0.3801811	0.1318524	0.5230274	0.4171061	0.4774963	0.6296489	0.6797039
0.0698419	0.7565101	0.7360660	0.1779617	0.0266664	0.5818245	0.4392394	0.6025563	0.5449265	0.3918503
0.0988733	0.7615086	0.7990120	0.0063605	0.0868716	0.8041050	0.3450282	0.6699901	0.7604860	0.4433887
0.0539794	0.7128881	0.6927853	0.0541525	0.2254379	0.6483493	0.3403786	0.8193423	0.5742857	0.7263842
0.0329069	0.6615303	0.6356159	0.2399442	0.3103994	0.7569075	0.4022521	0.8002024	0.6054620	0.6866814
0.0190585	0.7133484	0.5976178	0.1016379	0.1230400	0.5921624	0.2656107	0.6344586	0.5722485	0.7937630
0.0870108	0.6332215	0.6619699	0.0058743	0.4265406	0.7296377	0.3091392	0.7529433	0.6244121	0.5623597
0.0468400	0.6791686	0.8660286	0.0190109	0.1394772	0.6433714	0.4883174	0.6470251	0.6473599	0.3644704
