YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.0007259	0.2403577	0.3587936	0.3487642	0.1087757	0.8669472	0.8635259	0.5655439	0.7045789	0.6582915
0.3447910	0.0000000	0.3013371	0.3470841	0.1181716	0.6817533	0.7691635	0.4582463	0.7352528	0.6904327
0.5403304	0.0372144	0.0000000	0.4673126	0.0908304	0.8567251	0.8402112	0.4359790	0.8121097	0.7725600
0.8187936	0.6650217	0.7371755	0.0000000	0.1674907	0.7164232	0.7731412	0.6309565	0.9286672	0.9260478
0.6828733	0.2151255	0.2716775	0.3729568	0.0000000	0.7134032	0.9181358	0.4707165	0.7319645	0.7808641
0.6067852	0.0585171	0.0876170	0.6157841	0.7473503	0.0000000	0.6404467	0.5665007	0.7300758	0.7061191
0.3646285	0.0950937	0.2540127	0.3313655	0.1369909	0.8737875	0.0000000	0.6048874	0.7206104	0.7499098
0.3979677	0.1669482	0.3438882	0.2632305	0.2223167	0.7329328	0.8567202	0.0000000	0.7825049	0.8662154
0.4727999	0.1541126	0.2656743	0.4409203	0.1415681	0.7027378	0.6755580	0.0068749	0.0000000	0.7988770
0.7842733	0.1743883	0.2769317	0.3432591	0.1338077	0.6331655	0.8510893	0.4883559	0.8037926	0.0000000
