YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.1865876	0.1058960	0.2904926	0.6092048	0.7647384	0.8868984	0.5786560	0.6144816	0.8038404	0.9701580
0.4689322	0.6128036	0.7986360	0.4736351	0.9804730	0.7934983	0.4730181	0.8074129	0.7583537	0.6070860
0.6292746	0.0750096	0.2904602	0.5139409	0.9511426	0.8630003	0.5800767	0.6369657	0.8250833	0.8734109
0.0522057	0.0416498	0.1952298	0.4550340	0.9436783	0.8629031	0.7586618	0.1920147	0.3475878	0.5911720
0.6195230	0.2587306	0.5505283	0.7275506	0.9569643	0.8581112	0.3859142	0.7989513	0.8752083	0.9089319
0.2372502	0.1365956	0.3283370	0.5312283	0.8479811	0.7528047	0.3160281	0.7773332	0.7226803	0.9626060
0.1571599	0.0523269	0.2407297	0.5318847	0.9894084	0.8381293	0.5049869	0.7898368	0.9108479	1.0670033
0.1506631	0.1095071	0.3633085	0.5795258	0.7526871	0.8767547	0.4228107	0.4065364	0.4883416	0.7500614
0.4474010	0.0495205	0.1912568	0.5431206	0.8848537	0.9841937	0.7753131	0.1832143	0.3119878	0.7608134
0.5520610	0.3217514	0.3212256	0.5691461	0.8326632	0.9463901	0.5244385	0.6599595	0.7944988	0.7747108
