YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.0000000	0.8069035	0.6815971	0.8259315	0.0652087	0.1021070	0.5180729	0.3542181	0.7301940	0.6190117
0.7021168	0.0000000	0.7394507	0.7019282	0.0778539	0.1187366	0.6671964	0.2827854	0.6774284	0.8297935
0.1618903	0.0193404	0.0000000	0.7774631	0.0287018	0.1129673	0.6558142	0.3103321	0.7447370	0.7756694
0.2334075	0.0159279	0.0026001	0.0000000	0.0757740	0.0927616	0.5641700	0.3262449	0.6487598	0.8172449
0.6139562	0.7925173	0.6509378	0.7132532	0.0000000	0.1467244	0.6535491	0.2547934	0.6990335	0.8008150
0.6428399	0.8489914	0.7629900	0.7411134	0.0172622	0.0000000	0.5840260	0.2755407	0.7710846	0.7167348
0.7104207	0.5922896	0.7203928	0.2878706	0.7281085	0.7623870	0.0000000	0.4132857	0.5125361	0.7873787
0.5947311	0.8111225	0.7108983	0.6949765	0.0427640	0.0757594	0.8657069	0.0000000	0.8107792	0.7947017
0.7510775	0.7368632	0.9318306	0.7788122	0.1054220	0.1627007	0.5431328	0.4527876	0.0000000	0.6924659
0.6572351	0.7563167	0.8347481	0.7187559	0.0557178	0.1265026	0.7001632	0.3324252	0.6627777	0.0000000
