YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.0000000	0.5785041	0.6914675	0.6761076	0.1491841	0.3658309	0.0128076	0.6229060	0.0567226	0.7623331
0.0658747	0.0000000	0.6360612	0.6997025	0.2030717	0.4232491	0.0336102	0.6410662	0.0255221	0.6669640
0.1043780	0.3823264	0.0000000	0.7374347	0.1784765	0.3138418	0.0432895	0.7874358	0.0575922	0.7214819
0.0634051	0.3737995	0.6841206	0.0000000	0.2253139	0.4027975	0.0375215	0.7020512	0.0820326	0.8215038
0.0772001	0.3535279	0.6916820	0.5274992	0.0000000	0.3652530	0.0101244	0.6820451	0.0669310	0.6596012
0.1218103	0.4588878	0.7549044	0.8087315	0.0091780	0.0000000	0.0212244	0.6786747	0.0384721	0.6491019
0.1170198	0.5412270	0.7160831	0.7080393	0.4373593	0.6531762	0.0000000	0.6672560	0.2307051	0.6909137
0.0859951	0.0588698	0.0414639	0.0312096	0.0415375	0.1075390	0.6678088	0.0000000	0.0301199	0.5698286
0.1667145	0.4140860	0.7753223	0.6605842	0.1417628	0.3098065	0.0441263	0.5477465	0.0000000	0.5947796
0.6319536	0.4189177	0.6523232	0.7364634	0.1029696	0.2831211	0.0316153	0.3868365	0.2588847	0.0000000
