YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.3127546	0.7886192	0.6091172	1.0116925	0.9641565	1.0540827	0.6779254	0.9934339	1.0538539	0.8689452
0.6113971	0.6155090	0.6123557	0.9840250	0.8595294	0.9593259	1.0906694	0.9693690	0.7780441	0.9722110
0.4651171	0.5949165	0.5894738	0.9125088	0.7313244	1.0703704	1.0068915	0.6879467	0.8584568	0.7345542
0.4698700	0.6846621	0.6040189	1.0167048	0.9823296	1.0084753	0.6893624	0.7230770	0.9452501	0.6567488
0.3331990	0.7048719	0.7133652	0.9986838	1.0312008	1.0848623	1.0352329	0.9340524	0.7724781	0.9064236
0.3523599	0.8602021	0.6729208	0.8816075	1.0602647	0.8900136	0.8213909	1.1572837	0.9981188	0.8331090
0.7329417	0.4842700	0.5913470	0.9924313	0.9716559	0.9253487	0.9726729	0.9750455	0.8484096	0.5753909
0.5922449	0.4975761	0.5826548	1.0389330	1.0584664	1.0990766	1.0308947	0.4087447	0.9919428	0.7915659
0.7117617	0.5621367	0.5349764	0.9209545	1.0045082	0.9941808	0.9907350	0.8385523	0.8269535	0.8548402
0.3418630	0.6981190	0.7131986	0.9495149	0.9123278	1.0545970	0.9981801	0.5298101	0.8760578	0.7873027
