YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.4926812	0.8761527	0.1689484	0.1172833	0.1575707	0.2596549	1.0240894	0.9347347	0.2193582	0.9664957
0.8167595	0.4443559	0.1310060	0.0956019	0.1142508	0.2586149	1.0218315	0.9430614	0.2230201	1.0297554
1.0169740	0.9536519	0.0445063	0.0819617	0.1159646	0.2679714	1.0177044	0.9053588	0.2241100	1.0301678
1.0134362	0.7676330	0.1340599	0.0458073	0.1077571	0.2531062	1.0821026	0.9426931	0.2713073	1.0043173
0.9334647	1.0050975	0.1004563	0.0961813	0.0677908	0.2085756	1.0118996	0.9613280	0.2671986	0.9962945
0.8965261	0.8587328	0.1045404	0.0990701	0.1172257	0.1220000	1.0407505	0.8821030	0.2503757	1.0366422
0.8194245	0.4168117	0.4034697	0.1737622	0.4247310	0.7977472	0.5103238	0.9149188	0.2351157	1.0179829
0.9729430	0.8222484	0.1550207	0.1201715	0.1328371	0.2870486	1.1505858	0.4610188	0.2771638	1.0381867
0.9694682	0.8293632	0.1121425	0.1014036	0.1065167	0.2218813	1.0122326	1.0064559	0.1209274	1.0345481
0.9027315	0.9876611	0.0352629	0.0884984	0.1026750	0.2220564	0.9561112	0.8042100	0.2895050	0.5161864
