YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0.0000000	0.0276315	0.9646561	0.4268094	0.4492304	0.6315330	0.6758850	0.1183653	1.0490850	0.0267511
1.0308948	0.0000000	0.9543811	0.5046370	0.3413554	0.7218435	0.7911359	0.0806362	1.0155640	0.0300779
0.9605278	0.0401720	0.0000000	0.5376026	0.2895303	0.7314648	0.7449892	0.0570103	0.4329715	1.1053386
0.9386776	0.9476095	1.0539350	0.0000000	0.2867576	0.6149474	0.7716039	0.0649179	1.0084900	0.0240983
1.0252979	0.6795078	0.4478718	1.0547594	0.0000000	0.7843400	0.8084648	0.0141985	0.9722283	0.1257643
1.0946019	0.6607792	0.4809737	1.0250888	0.1073733	0.0000000	0.9810756	0.0223334	0.9970259	0.1087430
1.0140256	0.9622663	1.0181378	0.0896057	0.7446125	0.9118875	0.0000000	0.2346184	0.9528455	0.0171015
1.0644004	0.8964109	0.8470284	0.5668287	0.3157016	0.6260573	1.0101713	0.0000000	0.9531437	0.0333930
1.0483026	0.9283901	0.7626650	0.5150971	0.3214890	0.6457736	1.0274670	0.0071601	0.0000000	0.0429446
0.9781119	0.9833650	0.9401603	0.4529613	0.4394910	0.7147927	0.6797824	0.1105189	1.0465679	0.0000000
