"Time"	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C

0	0.1088710	0.3079624	0.2191611	0.9360352	0.9799368	0.0934425	1.0240861	0.2718742	1.0898038	0.9564075
50	0.1077809	0.2175687	0.1943296	0.9444152	0.9985516	0.1221886	0.9464091	0.0863084	0.9933233	1.0263445
100	0.2297113	0.2788331	0.1540594	0.9491365	0.9464200	0.1509866	0.9571568	0.0277430	1.0205261	1.1563819
150	0.2111869	0.2712442	0.1556668	0.9329104	0.9533672	0.1049951	0.9839933	0.0081687	1.0438711	0.9827614
200	0.1552032	0.2512302	0.1652265	0.8356027	0.9487223	0.1207161	1.0544294	0.0043442	0.9957976	1.0415607
250	0.1713023	0.2661381	0.2216263	0.8558284	0.9382992	0.1050691	0.9429070	0.0044019	1.0214543	1.0495795
300	0.1390331	0.2652926	0.1719089	0.8894637	0.8165177	0.1209888	0.9330680	0.0028956	0.9760432	1.0356961
350	0.1085235	0.2292792	0.1646285	0.9392593	0.9048794	0.1115968	1.0256109	0.0008271	1.0736226	1.1019220
400	0.0684073	0.2333807	0.1623999	0.8894059	1.0375582	0.1029927	0.9348874	0.0007870	0.9975151	0.9809581
450	0.0665452	0.2199341	0.2448577	0.8806964	0.9156341	0.1220513	0.9458842	0.0022431	0.9013312	0.9789243
500	0.1125080	0.2291571	0.2424948	0.8532754	0.9082993	0.1210845	0.9227399	0.0026736	0.9503959	0.9546552
550	0.1586555	0.2776969	0.2172582	0.9073861	0.9049190	0.1725193	0.9039762	0.1894859	1.0098245	1.0221764
600	0.1317103	0.2627041	0.2031637	0.8970136	0.8301577	0.1352743	1.0518879	0.2128238	1.0175446	0.9904946
650	0.1155051	0.2603642	0.2020759	0.9029200	0.8891698	0.1428488	0.9922781	0.2210007	1.0638253	0.9865500
700	0.2715262	0.2961116	0.1919565	0.9049510	0.8064876	0.1539444	0.9881096	0.1914763	1.0716694	0.9548431
750	0.2640248	0.3592210	0.2230165	0.8808365	0.8081249	0.1213344	1.0020956	0.2023008	0.9798700	1.0229434
800	0.2198005	0.2893494	0.2007222	0.9486790	0.9383774	0.0764337	0.8917530	0.1879779	1.0159490	1.0465494
850	0.1203493	0.2706491	0.2070407	0.8250916	0.8528895	0.1033289	1.0602033	0.2366131	0.9097795	1.0474512
900	0.1395318	0.2443242	0.1725882	0.9353590	0.8535834	0.1119475	0.9765141	0.2102554	0.9586294	1.0143095
950	0.1276040	0.3068271	0.2022790	0.8708260	0.9207969	0.1259260	0.9669918	0.2120970	1.0545308	1.0258276
1000	0.2058789	0.2830574	0.2327050	0.8955944	0.8806319	0.1021800	0.9082484	0.2208130	1.0269425	1.0087585

0	0.1088710	0.3079624	0.2191611	0.9360352	0.9799368	0.0934425	1.0240861	0.2718742	1.0898038	0.9564075
50	0.4686658	0.2757478	0.1457776	0.9656804	0.8964259	0.0947252	0.9997324	0.2278388	1.0177859	1.0541420
100	0.5491082	0.2472963	0.1787261	0.9250569	0.8668141	0.1035852	0.9969530	0.2862781	1.0217141	0.9541688
150	0.6103836	0.1907499	0.1711844	0.8851615	0.9338437	0.1211198	0.9645721	0.2585758	1.0288097	0.9268323
200	0.5429957	0.2658481	0.2047408	0.8913472	0.9017012	0.1334037	1.0396634	0.2622847	1.0512992	0.9504756
250	0.5838520	0.2993751	0.1928872	0.9038717	0.8308847	0.0690112	0.9885174	0.2128811	0.9511646	1.0154869
300	0.5410039	0.2560971	0.1980549	0.8540728	0.9648393	0.0448958	0.9971567	0.2316080	1.0036320	0.9716046
350	0.6399041	0.2446073	0.1785551	0.8564603	1.0044602	0.0455373	0.9416689	0.2225157	1.0692168	0.9645588
400	0.6040972	0.2570627	0.2074262	0.9267144	1.0010278	0.0511123	1.0442078	0.2742478	0.9809129	0.9787723
450	0.5724204	0.2681448	0.2098506	0.8419731	1.0293271	0.0833619	0.9982512	0.2028013	1.0104315	1.0285852
500	0.6073165	0.2734068	0.1961775	0.8326183	0.9996308	0.0740688	0.9986502	0.2656495	1.0430928	0.9599099
550	0.3330288	0.2467178	0.1794722	0.8916360	1.1348053	0.0961212	1.1132761	0.2247486	1.0298078	1.0285999
600	0.2321201	0.2900946	0.2114585	0.8615295	0.9618955	0.0767144	1.0322293	0.2121278	1.0607984	0.9868122
650	0.4239307	0.2907330	0.2224978	0.8603026	0.9322232	0.0979243	1.0253601	0.1985826	0.9586971	0.9746541
700	0.2665419	0.3132591	0.1749047	0.9042312	0.9513222	0.0730293	1.0138681	0.2150044	1.0628799	1.0110469
750	0.1602524	0.2574780	0.1719571	0.8709789	0.9030702	0.0957217	1.0028157	0.2303451	1.1051432	1.0137189
800	0.1014425	0.2624482	0.1723931	0.8660351	0.8659581	0.1235581	1.0107448	0.1955637	0.9727179	0.9776520
850	0.0740258	0.3324554	0.2092329	0.9216626	0.8501327	0.0941679	1.0014732	0.2546137	0.9040658	1.0090004
900	0.2103940	0.2688142	0.2270389	0.8776159	0.9402977	0.0721016	0.9650487	0.3219248	1.0110054	1.0326995
950	0.3387064	0.2898980	0.1861106	0.8537105	0.9922077	0.0626396	0.8754114	0.3090270	0.8877955	1.0271619
1000	0.1943717	0.2872268	0.1869160	0.9058615	1.0468126	0.0885379	0.9722213	0.3075828	0.9915933	0.9578413

0	0.1088710	0.3079624	0.2191611	0.9360352	0.9799368	0.0934425	1.0240861	0.2718742	1.0898038	0.9564075
50	0.0679619	0.2125984	0.0623134	0.6777922	0.9277809	0.0363726	0.9780794	0.2565204	0.5433420	0.9600148
100	0.0376569	0.2107472	0.0210540	0.5362276	0.9165282	0.0543268	0.9639792	0.4952388	0.4443485	1.0725529
150	0.0369415	0.1282455	0.0194204	0.4912282	0.9858758	0.0790632	1.0208232	0.6457484	0.4846104	0.9739579
200	0.0376524	0.0791446	0.0195129	0.4686601	1.0104671	0.1329402	0.9782236	0.7512890	0.3793839	1.0540700
250	0.0301516	0.0500280	0.0348036	0.4472007	0.9693174	0.1594960	0.9491905	0.7802252	0.3914890	0.9946282
300	0.0331190	0.0671113	0.0316686	0.4425945	0.9649222	0.1412136	0.8616769	0.7578618	0.3927783	0.8916361
350	0.0406161	0.0647286	0.0370988	0.4987583	0.9197206	0.1299621	0.8550058	0.7511252	0.4403447	0.9685666
400	0.0399091	0.0607219	0.0325836	0.4870163	0.9982090	0.1231223	0.8583943	0.6883215	0.3780875	0.9823811
450	0.0402803	0.0594154	0.0404990	0.4680410	0.9536650	0.1698911	0.8984160	0.6961162	0.4009938	0.9676987
500	0.0475804	0.0721328	0.0434281	0.4661255	0.9572517	0.1677915	0.8034570	0.7342231	0.3863032	0.9307241
550	0.0731351	0.1537462	0.2862561	0.6923679	0.8355789	0.3140316	0.6279476	0.7375256	0.8331580	1.0491095
600	0.3347002	0.2418531	0.2917321	0.8614126	0.6396468	0.2899992	0.6502760	0.5058513	1.0008937	0.9311429
650	0.4753104	0.3063004	0.2161776	0.8960170	0.4126088	0.2770113	0.7079356	0.3817342	0.9176110	0.9962353
700	0.3847076	0.3362631	0.1964818	0.9004641	0.4103288	0.2013349	0.8354013	0.3113468	1.0244054	0.9966517
750	0.2168344	0.2787380	0.2149225	0.8708768	0.5474150	0.1559220	0.9512686	0.2711108	1.0406953	1.0070515
800	0.1772180	0.3033035	0.2370550	0.8847143	0.7129342	0.0814550	1.0052166	0.2393057	1.0095712	0.9925930
