YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.7385052	0.5732795	0.5719617	0.9091049	0.4143532	0.3548288	0.7931246	0.5315227	0.3846801	0.9384815
0.5228414	0.6867579	0.3998937	0.9972973	0.2543455	0.9565539	0.0505907	0.1526262	0.9341291	0.9904900
0.7586407	0.4797988	0.8497711	0.5742915	0.2498921	0.4141440	0.7766268	0.8983632	0.4503417	0.7093366
0.3370314	0.8922000	0.4959154	1.1088895	0.6472968	0.0787544	0.7984434	0.6714704	0.5196550	0.7039711
0.4195932	0.9571659	0.4266452	1.0665549	0.5416616	0.1669661	0.5943281	0.5176106	0.6458640	1.0429167
0.8869573	0.5076302	0.6056052	0.8918230	0.2389336	0.8744730	0.3405772	0.4137776	0.8810726	0.9619158
0.7922931	0.6238572	0.6910045	0.7650234	0.4114355	0.8033213	0.0018708	0.0345141	0.8836738	0.8837054
0.7393964	0.7643353	0.6330578	0.6613541	0.3706851	0.6124967	0.4695084	0.4443965	0.5709359	0.9897385
0.2902009	0.8850132	0.5597370	0.9372854	0.3541247	0.5619156	0.0726326	0.1606205	0.9193332	1.0082695
0.9321141	0.4870930	0.4048048	1.0216236	0.5390154	0.7701478	0.0231651	0.1051871	0.8274805	0.9951996
