YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.2542114	0.6497796	0.5774916	0.9303150	0.1280689	0.3434823	0.0170359	1.0071482	0.1608487	0.8049372
0.2491061	0.8928658	0.9471051	0.8343564	0.1036890	0.4626992	0.0454920	0.8207228	0.0339676	0.7672744
0.1382701	0.4978466	1.0252936	0.8320353	0.1255753	0.4923055	0.0262053	0.9061060	0.0073263	0.9314439
0.1367790	0.7645531	0.8925210	0.6656529	0.1965115	0.2342609	0.0422686	0.8776066	0.1701175	1.0203980
0.1873636	0.6738025	1.0348711	1.0752219	0.0895353	0.3217930	0.0349610	0.8023467	0.0113729	1.0653091
0.0931968	0.4485681	0.9109928	0.5869913	0.3512609	0.6911380	0.0423821	0.7593525	0.1316434	0.9977980
0.1081546	0.6265117	0.9946167	1.0177801	0.7391448	0.4776047	0.0195424	0.9005174	0.0335494	0.9801256
0.0943109	0.8044086	0.7334465	0.8371452	0.3698375	0.4984564	0.0195651	0.9195077	0.0719503	1.1142260
0.1529278	0.7338298	0.9762724	0.9950127	0.3647936	0.7087178	0.0215206	0.9468332	0.0765277	0.9073314
0.0935547	0.5463327	0.5884355	1.0725209	0.3836768	0.4111909	0.0637445	0.8055131	0.0524456	1.0982945
