YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.3305211	0.4279205	0.5529173	0.0668136	0.6185402	0.6078413	0.7011231	0.5530142	0.1451965	0.3317643
0.8666528	0.2443219	0.5632634	0.1051488	0.5709274	0.5057660	0.5734017	0.0876306	0.0586166	0.1086898
0.8508271	0.2832910	0.2885981	0.0568598	0.6066267	0.5496335	0.5425312	0.2836136	0.1196459	0.1396059
0.6056338	0.3176551	0.6155402	0.0507268	0.6728518	0.5192239	0.5931260	0.2297206	0.2024005	0.2276949
0.7634723	0.4016171	0.6251064	0.1173056	0.3596992	0.6975260	0.5970607	0.2602126	0.1918524	0.2623011
0.6859654	0.2338364	0.3089745	0.1271612	0.2030779	0.3247455	0.7035078	0.1822120	0.1256663	0.1404331
0.6923183	0.3437443	0.6724642	0.1280591	0.5009609	0.5114782	0.3444673	0.2092021	0.1360189	0.2322342
0.7777672	0.2807469	0.7558767	0.0826869	0.7200451	0.5357431	0.4733332	0.1146452	0.1262266	0.2704027
0.7501507	0.4019717	0.7205065	0.0653909	0.7255346	0.5281368	0.6277472	0.2603174	0.1323869	0.2896332
0.7630085	0.4367464	0.6856058	0.1350944	0.4293127	0.6386438	0.6582572	0.1783149	0.0739621	0.1349136
