"Time"	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C

0	0.7596605	0.5183703	0.5314384	0.7182678	0.0505852	0.3878534	0.4963472	0.0682865	0.1599883	0.3125048
50	0.2771329	0.4918762	0.5879740	0.5115828	0.0766668	0.3379001	0.6241904	0.0687002	0.1441132	0.2400019
100	0.0477331	0.4636301	0.7883670	0.4184926	0.0611368	0.2972898	0.5148507	0.1097946	0.3503594	0.3321325
150	0.0271117	0.2930899	0.5967854	0.3664614	0.0648669	0.2940133	0.6405351	0.1221028	0.2721904	0.3565106
200	0.0251844	0.4002266	0.7576716	0.3196782	0.1244068	0.3999324	0.6453798	0.1588195	0.2791550	0.4085903
250	0.0109679	0.3624636	0.6294108	0.2280974	0.1481517	0.4151854	0.6165859	0.1443339	0.2936751	0.3636899
300	0.0124759	0.4493029	0.7985691	0.2579962	0.1000509	0.3597009	0.4261978	0.1289059	0.2815789	0.2708710
350	0.0214229	0.3791765	0.7660833	0.2633445	0.1198711	0.4555176	0.4805678	0.1850199	0.2949320	0.2666865
400	0.0073817	0.5350808	0.7327350	0.1771262	0.1560055	0.4491213	0.5116710	0.1930113	0.2348749	0.2406696
450	0.0286250	0.4398775	0.7456501	0.1727531	0.1477196	0.3363428	0.5967440	0.1712558	0.2940601	0.1829173
500	0.0166654	0.5229244	0.6752162	0.2814054	0.1462948	0.3958631	0.5010042	0.1129296	0.2858320	0.2159731
550	0.3361252	0.5289094	0.6755535	0.3131899	0.1067311	0.4649272	0.4662913	0.1215168	0.2360575	0.1628783
600	0.6737657	0.4930654	0.6129642	0.5097512	0.1116319	0.3973818	0.5667470	0.1315848	0.2211700	0.1984089
650	0.7776094	0.6172762	0.5758067	0.6418242	0.0928548	0.4082463	0.4283425	0.1629437	0.1875707	0.2565734
700	0.6678586	0.4500491	0.6013010	0.7230451	0.1440516	0.2938646	0.5706155	0.1347804	0.1915068	0.2124049
750	0.6213211	0.5211530	0.7483869	0.6891504	0.0977038	0.3163095	0.5822594	0.0749375	0.1957752	0.2738112
800	0.5543994	0.4578379	0.7230529	0.6243453	0.0678543	0.3071807	0.6197593	0.0966602	0.1346920	0.2616862
850	0.8061313	0.4138174	0.7208511	0.6803055	0.0173726	0.3522827	0.6641845	0.0592913	0.2234355	0.2670293
900	0.6694098	0.5738280	0.8297864	0.6626269	0.0276206	0.3941189	0.6421003	0.0794906	0.2178681	0.3176996
950	0.6657898	0.4205303	0.7611304	0.6845947	0.0423496	0.3567393	0.5786979	0.1051645	0.1857828	0.3170538
1000	0.5716926	0.5444154	0.7599059	0.7209649	0.1018434	0.2702040	0.5354429	0.1445748	0.2330997	0.2506360

0	0.7042257	0.5343509	0.6371215	0.6246608	0.1001631	0.4821322	0.5088272	0.0845436	0.1771815	0.3150216
50	0.6451790	0.5006316	0.6979249	0.5854329	0.0630708	0.2432464	0.4430916	0.0787033	0.1799183	0.2766294
100	0.6694619	0.4188846	0.8906529	0.7104526	0.0487376	0.1570365	0.5455836	0.0754437	0.2079465	0.2677588
150	0.7081593	0.5755143	0.8896121	0.7595691	0.0516409	0.0671151	0.4993659	0.1677816	0.1882172	0.3171665
200	0.6842841	0.5272164	0.7167226	0.7013298	0.0629816	0.0644694	0.4863579	0.1524983	0.2852394	0.2453965
250	0.7390524	0.4432973	0.6063923	0.5450511	0.1171953	0.0312154	0.4967456	0.1698591	0.1578238	0.2200558
300	0.6720445	0.4878012	0.6743106	0.5923743	0.1155258	0.0122464	0.4437532	0.1209289	0.1735880	0.1645292
